StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
bankssts,1047,714,1853,2.624,0.553,0.113,0.022,9,0.9
caudalanteriorcingulate,860,588,1582,2.322,0.663,0.130,0.021,13,0.8
caudalmiddlefrontal,2276,1550,4174,2.518,0.503,0.119,0.021,21,2.1
cuneus,2014,1367,3047,2.050,0.524,0.147,0.033,28,2.8
entorhinal,506,345,1697,3.456,0.679,0.102,0.017,3,0.4
fusiform,3812,2531,8154,2.782,0.619,0.118,0.024,44,3.6
inferiorparietal,6349,4263,12211,2.580,0.495,0.117,0.022,68,5.7
inferiortemporal,3595,2530,9129,3.017,0.693,0.127,0.029,49,4.1
isthmuscingulate,1083,719,1787,2.118,0.761,0.114,0.028,12,1.1
lateraloccipital,7459,4769,12781,2.356,0.608,0.129,0.030,87,8.9
lateralorbitofrontal,3195,2317,6598,2.514,0.664,0.136,0.034,42,4.6
lingual,3550,2454,4836,1.890,0.616,0.128,0.029,40,4.8
medialorbitofrontal,2665,1930,5290,2.238,0.747,0.135,0.035,55,3.6
middletemporal,4230,2914,10821,2.956,0.688,0.120,0.023,53,4.3
parahippocampal,822,506,1728,2.882,0.870,0.088,0.014,5,0.5
paracentral,1965,1210,3508,2.662,0.528,0.103,0.019,14,1.6
parsopercularis,1836,1250,3627,2.565,0.463,0.104,0.018,17,1.3
parsorbitalis,925,718,2569,2.733,0.661,0.153,0.035,16,1.4
parstriangularis,1938,1396,3914,2.397,0.528,0.116,0.022,18,1.9
pericalcarine,1904,1334,1972,1.693,0.498,0.139,0.036,19,2.8
postcentral,4864,3122,7291,2.041,0.540,0.109,0.020,45,3.8
posteriorcingulate,1562,1115,2964,2.305,0.706,0.130,0.025,22,1.7
precentral,6335,4084,11203,2.529,0.541,0.111,0.023,54,6.0
precuneus,5336,3668,9262,2.387,0.482,0.120,0.023,58,5.3
rostralanteriorcingulate,586,417,1387,2.691,0.683,0.130,0.025,8,0.6
rostralmiddlefrontal,5992,4435,12274,2.272,0.619,0.136,0.031,88,8.2
superiorfrontal,8023,5641,17554,2.673,0.604,0.122,0.024,85,8.1
superiorparietal,8028,5293,13034,2.234,0.513,0.116,0.022,84,7.0
superiortemporal,5103,3526,11471,2.817,0.685,0.118,0.022,54,5.1
supramarginal,5629,3875,10242,2.449,0.515,0.121,0.023,64,5.5
frontalpole,398,322,1305,2.730,0.626,0.157,0.050,10,0.7
temporalpole,493,420,2819,3.929,0.818,0.166,0.041,12,1.1
transversetemporal,491,317,818,2.270,0.413,0.102,0.028,4,0.5
insula,3180,2126,6500,3.069,0.771,0.111,0.025,27,3.2
