StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
caudalanteriorcingulate,1784,1199,2918,2.302,0.615,0.115,0.016,23,1.3
caudalmiddlefrontal,2927,1936,4792,2.372,0.499,0.108,0.020,21,2.5
cuneus,3227,2111,4344,1.957,0.472,0.117,0.021,33,2.8
entorhinal,681,432,2007,3.359,0.778,0.090,0.017,4,0.5
fusiform,4692,3168,10274,2.839,0.576,0.112,0.022,47,4.2
inferiorparietal,6243,4159,10836,2.394,0.520,0.110,0.018,59,4.8
inferiortemporal,4826,3435,11045,2.730,0.641,0.128,0.026,61,5.4
isthmuscingulate,1484,979,2454,2.244,0.864,0.116,0.024,15,1.3
lateraloccipital,8189,5460,13405,2.184,0.567,0.131,0.027,97,9.2
lateralorbitofrontal,4159,2855,8042,2.588,0.688,0.121,0.028,43,4.8
lingual,4570,3092,6508,2.018,0.681,0.126,0.030,47,5.9
medialorbitofrontal,2258,1636,4212,2.328,0.637,0.131,0.032,36,3.2
middletemporal,6409,4309,14275,2.749,0.617,0.108,0.019,57,5.5
parahippocampal,1276,786,2602,2.801,0.711,0.074,0.013,7,0.6
paracentral,2520,1503,4330,2.672,0.544,0.099,0.018,17,1.9
parsopercularis,2040,1327,3646,2.495,0.404,0.098,0.019,17,1.4
parsorbitalis,1115,752,2212,2.559,0.486,0.125,0.023,12,1.1
parstriangularis,1996,1364,3425,2.295,0.405,0.106,0.020,18,1.6
pericalcarine,2087,1431,1816,1.506,0.380,0.129,0.028,22,2.3
postcentral,7305,4555,10662,2.104,0.578,0.096,0.018,54,5.3
posteriorcingulate,1930,1265,3380,2.368,0.796,0.122,0.020,22,1.7
precentral,7573,4574,13330,2.652,0.566,0.094,0.018,49,5.7
precuneus,4284,2913,8273,2.589,0.463,0.119,0.023,43,3.9
rostralanteriorcingulate,1858,1339,3690,2.467,0.670,0.135,0.031,30,2.3
rostralmiddlefrontal,5557,4062,10410,2.283,0.442,0.137,0.028,70,6.7
superiorfrontal,11000,7683,21791,2.485,0.536,0.119,0.023,126,10.7
superiorparietal,5194,3342,8501,2.348,0.436,0.105,0.018,42,3.8
superiortemporal,7171,4812,16022,2.787,0.696,0.099,0.017,54,5.4
supramarginal,5077,3432,9125,2.442,0.519,0.120,0.024,55,4.9
transversetemporal,682,414,904,2.161,0.440,0.126,0.024,8,0.7
insula,2646,1756,5612,2.977,0.763,0.103,0.021,20,2.3
