Region,Volume,Units
Brain Segmentation Volume,1033291.000000000000,mm^3
Brain Segmentation Volume Without Ventricles,1022605.000000000000,mm^3
Supratentorial volume,896038.000000000000,mm^3
Supratentorial volume NotVent,885352.000000000000,mm^3
Subcortical gray matter volume,55184.000000000000,mm^3
Left hemisphere cortical gray matter volume,197821.076468597428,mm^3
Right hemisphere cortical gray matter volume,197937.329329852480,mm^3
Total cortical gray matter volume,395758.405798449880,mm^3
Total gray matter volume,559653.405798449880,mm^3
Left hemisphere cerebral white matter volume,217087.500000000000,mm^3
Right hemisphere cerebral white matter volume,218337.500000000000,mm^3
Total cerebral white matter volume,435425.000000000000,mm^3
Mask Volume,1413404.000000000000,mm^3
Supratentorial volume voxel count,885352.000000000000,mm^3
Brain Segmentation Volume Without Ventricles from Surf,1022605.000000000000,mm^3
Volume of ventricles and choroid plexus,7450.000000000000,mm^3
Estimated Total Intracranial Volume,1372022.814950,mm^3
Mean Thickness,2.35491,mm
