StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
bankssts,1276,861,2171,2.391,0.466,0.091,0.015,11,0.8
caudalanteriorcingulate,876,569,1393,2.327,0.688,0.112,0.013,11,0.6
caudalmiddlefrontal,2267,1503,3842,2.426,0.407,0.100,0.018,16,1.8
cuneus,2272,1518,2719,1.797,0.402,0.149,0.032,30,3.2
entorhinal,671,446,1709,3.030,0.975,0.118,0.038,6,1.0
fusiform,4485,3017,9359,2.723,0.550,0.121,0.025,51,4.8
inferiorparietal,5814,3958,10738,2.478,0.529,0.118,0.023,63,5.7
inferiortemporal,4470,2999,9753,2.717,0.631,0.112,0.022,53,3.9
isthmuscingulate,1296,876,2188,2.339,0.776,0.119,0.029,15,1.4
lateraloccipital,6809,4344,10077,2.152,0.556,0.130,0.030,78,8.3
lateralorbitofrontal,3919,2576,6914,2.524,0.625,0.122,0.029,43,5.0
lingual,3928,2601,5066,1.916,0.527,0.125,0.027,47,4.6
medialorbitofrontal,2359,1630,3878,2.285,0.639,0.123,0.031,31,3.1
middletemporal,3936,2632,8635,2.708,0.602,0.105,0.019,39,2.9
parahippocampal,888,562,1685,2.611,0.647,0.091,0.019,6,0.7
paracentral,2008,1207,3240,2.464,0.495,0.083,0.015,9,1.3
parsopercularis,2656,1767,4700,2.397,0.427,0.102,0.020,23,2.1
parsorbitalis,950,724,2328,2.549,0.548,0.150,0.031,17,1.4
parstriangularis,1839,1309,3281,2.259,0.464,0.127,0.024,21,1.9
pericalcarine,1853,1261,1889,1.695,0.425,0.141,0.033,23,2.6
postcentral,6805,4405,10606,2.182,0.559,0.111,0.023,62,6.3
posteriorcingulate,1656,1149,3026,2.347,0.654,0.129,0.025,22,1.8
precentral,5976,3829,10395,2.524,0.503,0.103,0.019,46,4.6
precuneus,5777,3930,9511,2.377,0.512,0.120,0.024,58,5.7
rostralanteriorcingulate,1352,979,2880,2.709,0.663,0.130,0.027,19,1.5
rostralmiddlefrontal,6596,4732,12206,2.332,0.505,0.126,0.026,73,7.1
superiorfrontal,9302,6489,18581,2.572,0.479,0.118,0.023,82,9.2
superiorparietal,8579,5555,13077,2.156,0.461,0.113,0.021,83,7.4
superiortemporal,5461,3610,10958,2.696,0.605,0.101,0.017,44,4.0
supramarginal,6358,4414,11932,2.489,0.498,0.121,0.025,66,6.6
frontalpole,324,253,868,2.644,0.441,0.163,0.035,5,0.5
temporalpole,591,452,2200,3.556,0.759,0.127,0.028,7,0.6
transversetemporal,817,476,1335,2.327,0.371,0.083,0.019,5,0.5
insula,3790,2558,6873,2.741,0.765,0.119,0.030,42,4.4
