StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
G_and_S_frontomargin,876,662,1575,2.205,0.426,0.136,0.025,12,1.0
G_and_S_occipital_inf,1547,1027,2910,2.393,0.561,0.126,0.027,18,1.6
G_and_S_paracentral,1796,1119,3184,2.392,0.449,0.097,0.018,14,1.3
G_and_S_subcentral,1482,1017,3089,2.681,0.472,0.118,0.024,16,1.5
G_and_S_transv_frontopol,701,535,1728,2.638,0.357,0.168,0.035,13,1.1
G_and_S_cingul-Ant,2220,1563,4238,2.675,0.514,0.120,0.025,25,2.3
G_and_S_cingul-Mid-Ant,1223,800,2025,2.556,0.404,0.094,0.012,9,0.6
G_and_S_cingul-Mid-Post,1329,901,2402,2.534,0.445,0.106,0.022,10,1.2
G_cingul-Post-dorsal,571,408,1454,2.736,0.452,0.141,0.034,7,0.8
G_cingul-Post-ventral,270,173,518,2.737,0.710,0.116,0.026,2,0.2
G_cuneus,2023,1291,2453,1.722,0.410,0.149,0.033,32,3.0
G_front_inf-Opercular,1447,960,2958,2.535,0.409,0.112,0.021,16,1.3
G_front_inf-Orbital,478,313,1241,2.745,0.382,0.127,0.031,6,0.6
G_front_inf-Triangul,1036,773,2498,2.503,0.438,0.154,0.032,20,1.5
G_front_middle,3054,2181,7031,2.514,0.492,0.124,0.026,39,3.3
G_front_sup,6277,4409,13933,2.655,0.483,0.126,0.026,61,6.9
G_Ins_lg_and_S_cent_ins,685,444,1226,2.590,0.656,0.112,0.024,8,0.6
G_insular_short,739,507,2178,3.343,0.856,0.122,0.030,7,0.9
G_occipital_middle,2185,1362,4315,2.493,0.550,0.125,0.028,29,2.5
G_occipital_sup,1588,957,2544,2.314,0.537,0.123,0.027,18,1.7
G_oc-temp_lat-fusifor,1789,1167,4156,2.855,0.499,0.123,0.030,25,2.1
G_oc-temp_med-Lingual,2632,1764,3684,1.906,0.575,0.142,0.033,42,3.6
G_oc-temp_med-Parahip,1394,922,3501,2.837,0.836,0.121,0.034,16,2.0
G_orbital,2398,1659,5236,2.491,0.649,0.138,0.036,39,3.9
G_pariet_inf-Angular,2170,1533,5179,2.666,0.555,0.140,0.033,35,2.8
G_pariet_inf-Supramar,3412,2380,7742,2.641,0.508,0.129,0.027,45,3.7
G_parietal_sup,3034,1980,5632,2.239,0.439,0.108,0.022,34,2.5
G_postcentral,2711,1664,4401,2.220,0.468,0.118,0.027,30,3.0
G_precentral,1953,1210,4231,2.756,0.484,0.106,0.021,18,1.5
G_precuneus,2693,1830,5454,2.447,0.501,0.126,0.025,34,2.8
G_rectus,1019,727,1998,2.151,0.610,0.158,0.048,23,2.3
G_subcallosal,796,514,1106,2.337,0.805,0.123,0.046,17,1.3
G_temp_sup-G_T_transv,594,326,1090,2.476,0.386,0.083,0.021,4,0.4
G_temp_sup-Lateral,1885,1252,5241,3.028,0.585,0.127,0.026,27,1.9
G_temp_sup-Plan_polar,686,471,1703,3.266,0.680,0.084,0.015,3,0.5
G_temp_sup-Plan_tempo,733,492,1350,2.506,0.406,0.079,0.013,4,0.4
G_temporal_inf,2426,1628,6303,2.857,0.595,0.121,0.027,39,2.6
G_temporal_middle,1940,1303,5484,3.009,0.515,0.121,0.025,28,1.8
Lat_Fis-ant-Horizont,370,234,377,1.897,0.285,0.091,0.017,2,0.2
Lat_Fis-ant-Vertical,294,204,410,2.179,0.396,0.092,0.018,1,0.2
Lat_Fis-post,1159,791,1436,2.333,0.346,0.114,0.021,7,1.1
Pole_occipital,1821,1133,2176,1.781,0.530,0.146,0.039,26,3.0
Pole_temporal,1428,1105,5292,3.365,0.794,0.147,0.032,21,1.8
S_calcarine,2306,1574,2555,1.903,0.542,0.129,0.029,23,2.9
S_central,2770,1804,3289,2.045,0.621,0.095,0.017,15,2.0
S_cingul-Marginalis,1013,658,1306,2.157,0.477,0.099,0.017,6,0.7
S_circular_insula_ant,576,385,823,2.611,0.576,0.105,0.020,2,0.6
S_circular_insula_inf,1483,983,2197,2.678,0.637,0.090,0.017,7,1.0
S_circular_insula_sup,1758,1155,2305,2.470,0.439,0.101,0.018,8,1.4
S_collat_transv_ant,1117,723,1600,2.540,0.475,0.105,0.016,8,0.8
S_collat_transv_post,407,280,455,1.900,0.390,0.127,0.028,3,0.4
S_front_inf,2290,1584,3472,2.216,0.430,0.107,0.021,16,2.0
S_front_middle,1199,844,1762,2.287,0.506,0.117,0.024,9,1.3
S_front_sup,2145,1429,3397,2.410,0.451,0.098,0.019,12,1.6
S_interm_prim-Jensen,188,133,283,2.653,0.386,0.139,0.028,2,0.3
S_intrapariet_and_P_trans,3215,2121,3647,1.948,0.346,0.099,0.015,19,2.1
S_oc_middle_and_Lunatus,693,480,888,2.148,0.533,0.141,0.033,7,0.9
S_oc_sup_and_transversal,1331,897,1593,2.084,0.375,0.121,0.023,11,1.4
S_occipital_ant,860,573,1179,2.488,0.313,0.114,0.022,5,0.9
S_oc-temp_lat,954,624,1328,2.435,0.308,0.089,0.011,4,0.5
S_oc-temp_med_and_Lingual,1917,1270,2534,2.279,0.482,0.096,0.016,10,1.3
S_orbital_lateral,358,257,427,2.002,0.374,0.122,0.020,2,0.4
S_orbital_med-olfact,674,455,809,2.331,0.580,0.112,0.016,5,0.5
S_orbital-H_Shaped,1232,846,2226,2.685,0.553,0.115,0.022,11,1.1
S_parieto_occipital,2485,1669,3214,2.205,0.518,0.123,0.024,22,2.6
S_pericallosal,1087,710,1020,1.637,0.690,0.125,0.022,19,0.9
S_postcentral,3680,2447,4973,2.145,0.398,0.108,0.020,30,3.1
S_precentral-inf-part,1349,879,1793,2.251,0.338,0.092,0.016,8,1.0
S_precentral-sup-part,993,668,1512,2.311,0.489,0.101,0.015,6,0.6
S_suborbital,729,486,932,2.248,0.676,0.099,0.015,4,0.5
S_subparietal,1139,800,1543,2.312,0.449,0.125,0.027,9,1.3
S_temporal_inf,1230,812,1485,2.285,0.411,0.098,0.012,7,0.6
S_temporal_sup,5381,3600,8164,2.409,0.425,0.093,0.015,33,3.5
S_temporal_transverse,533,352,617,2.100,0.352,0.096,0.013,2,0.4
