StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
G_and_S_frontomargin,1156,865,1902,1.981,0.537,0.151,0.034,17,1.8
G_and_S_occipital_inf,1820,1152,2914,2.217,0.538,0.125,0.029,20,2.1
G_and_S_paracentral,1592,954,2431,2.196,0.660,0.098,0.018,13,1.1
G_and_S_subcentral,2019,1326,3892,2.594,0.452,0.123,0.022,21,1.9
G_and_S_transv_frontopol,1264,988,2678,2.153,0.585,0.155,0.035,31,1.7
G_and_S_cingul-Ant,3046,2213,5260,2.198,0.634,0.122,0.024,37,3.1
G_and_S_cingul-Mid-Ant,1448,982,2602,2.440,0.612,0.111,0.017,13,1.0
G_and_S_cingul-Mid-Post,1604,1069,2811,2.434,0.597,0.123,0.024,16,1.7
G_cingul-Post-dorsal,697,478,1754,2.833,0.452,0.150,0.029,12,0.8
G_cingul-Post-ventral,341,212,758,2.716,0.678,0.108,0.026,4,0.2
G_cuneus,2435,1579,2719,1.624,0.462,0.128,0.029,28,3.1
G_front_inf-Opercular,1352,937,3358,2.735,0.338,0.117,0.020,19,1.1
G_front_inf-Orbital,334,238,736,2.442,0.470,0.133,0.024,4,0.4
G_front_inf-Triangul,1023,744,2577,2.637,0.431,0.140,0.027,15,1.1
G_front_middle,4032,2976,9766,2.474,0.501,0.137,0.031,76,4.8
G_front_sup,6985,4950,15769,2.505,0.594,0.125,0.024,97,7.1
G_Ins_lg_and_S_cent_ins,617,408,1525,3.431,0.812,0.108,0.031,6,0.5
G_insular_short,856,634,2235,2.855,1.128,0.169,0.068,32,2.7
G_occipital_middle,3323,1994,5640,2.365,0.475,0.118,0.028,41,3.6
G_occipital_sup,1867,1101,2280,1.852,0.507,0.115,0.029,20,2.1
G_oc-temp_lat-fusifor,2779,1746,6748,2.936,0.659,0.113,0.027,37,2.8
G_oc-temp_med-Lingual,3289,2307,4671,1.782,0.622,0.148,0.037,46,5.1
G_oc-temp_med-Parahip,1436,867,3532,2.813,0.811,0.092,0.021,11,1.1
G_orbital,2923,2167,7163,2.530,0.611,0.145,0.040,52,4.3
G_pariet_inf-Angular,3554,2362,7760,2.583,0.473,0.130,0.025,49,3.5
G_pariet_inf-Supramar,3485,2328,7191,2.634,0.468,0.122,0.023,40,3.4
G_parietal_sup,3206,2037,5247,2.117,0.404,0.116,0.023,38,3.0
G_postcentral,3163,1998,4683,1.968,0.407,0.110,0.021,33,2.8
G_precentral,3148,1863,6737,2.790,0.432,0.104,0.021,27,2.6
G_precuneus,3392,2247,6536,2.413,0.476,0.126,0.025,52,3.6
G_rectus,867,594,1965,2.487,0.475,0.114,0.022,11,0.8
G_subcallosal,657,429,1028,2.448,0.716,0.115,0.042,8,0.8
G_temp_sup-G_T_transv,504,281,820,2.521,0.655,0.137,0.042,8,0.6
G_temp_sup-Lateral,2210,1479,5987,2.986,0.550,0.123,0.027,29,2.5
G_temp_sup-Plan_polar,756,536,2090,3.351,0.672,0.102,0.022,6,0.7
G_temp_sup-Plan_tempo,927,609,1611,2.483,0.453,0.086,0.014,5,0.5
G_temporal_inf,3511,2304,8295,2.697,0.703,0.123,0.030,49,4.3
G_temporal_middle,3746,2541,9988,2.913,0.554,0.121,0.026,47,3.9
Lat_Fis-ant-Horizont,389,257,413,1.682,0.397,0.083,0.011,2,0.1
Lat_Fis-ant-Vertical,367,246,461,2.128,0.381,0.102,0.018,1,0.3
Lat_Fis-post,1452,957,1898,2.458,0.502,0.104,0.020,8,1.3
Pole_occipital,3483,2347,3861,1.588,0.535,0.154,0.037,50,5.9
Pole_temporal,2228,1630,7091,3.197,0.709,0.135,0.030,28,2.5
S_calcarine,2433,1720,2716,1.833,0.603,0.138,0.031,28,3.2
S_central,3078,2018,3326,1.881,0.578,0.094,0.018,16,2.2
S_cingul-Marginalis,1422,980,2043,2.196,0.358,0.101,0.016,9,1.0
S_circular_insula_ant,548,374,919,2.908,0.415,0.090,0.017,2,0.4
S_circular_insula_inf,1466,953,2184,2.660,0.529,0.080,0.011,5,0.7
S_circular_insula_sup,1390,912,1949,2.571,0.470,0.108,0.020,7,1.2
S_collat_transv_ant,1338,863,1942,2.556,0.426,0.086,0.011,6,0.5
S_collat_transv_post,507,362,606,1.978,0.350,0.139,0.028,6,0.6
S_front_inf,1963,1311,2368,1.892,0.451,0.097,0.015,12,1.3
S_front_middle,2657,1851,3374,1.820,0.512,0.109,0.018,18,2.2
S_front_sup,2686,1788,3611,2.146,0.415,0.094,0.016,14,1.8
S_interm_prim-Jensen,313,217,478,2.346,0.411,0.091,0.016,2,0.3
S_intrapariet_and_P_trans,4125,2694,5302,2.083,0.392,0.096,0.014,26,2.4
S_oc_middle_and_Lunatus,1184,780,1243,1.870,0.440,0.123,0.027,10,1.3
S_oc_sup_and_transversal,1569,1027,1757,1.895,0.379,0.111,0.019,12,1.2
S_occipital_ant,903,624,1328,2.334,0.386,0.123,0.023,7,0.9
S_oc-temp_lat,1622,1100,2454,2.528,0.438,0.093,0.016,9,1.0
S_oc-temp_med_and_Lingual,2685,1831,3680,2.391,0.506,0.105,0.016,17,1.9
S_orbital_lateral,417,289,463,1.686,0.410,0.109,0.015,2,0.3
S_orbital_med-olfact,982,656,1203,2.070,0.601,0.104,0.025,8,1.2
S_orbital-H_Shaped,1552,1115,2637,2.280,0.534,0.140,0.033,19,2.1
S_parieto_occipital,3116,2044,3934,2.131,0.458,0.109,0.019,24,2.5
S_pericallosal,1757,1129,1539,1.670,0.493,0.106,0.016,20,1.2
S_postcentral,3782,2489,4733,1.999,0.399,0.101,0.016,25,2.6
S_precentral-inf-part,2058,1348,2832,2.358,0.423,0.096,0.016,10,1.5
S_precentral-sup-part,1435,936,1801,2.224,0.439,0.091,0.013,6,0.9
S_suborbital,343,253,479,2.000,0.715,0.139,0.021,4,0.3
S_subparietal,1422,981,2164,2.226,0.441,0.115,0.022,11,1.3
S_temporal_inf,2008,1331,2695,2.438,0.460,0.101,0.017,13,1.5
S_temporal_sup,8030,5281,11692,2.389,0.421,0.092,0.015,43,5.2
S_temporal_transverse,291,185,420,2.742,0.383,0.104,0.014,2,0.2
