Region,Volume,Units
Brain Segmentation Volume,1109569.000000000000,mm^3
Brain Segmentation Volume Without Ventricles,1078696.000000000000,mm^3
Supratentorial volume,981610.000000000000,mm^3
Supratentorial volume NotVent,950737.000000000000,mm^3
Subcortical gray matter volume,57577.000000000000,mm^3
Left hemisphere cortical gray matter volume,225120.024852502276,mm^3
Right hemisphere cortical gray matter volume,222796.236381752620,mm^3
Total cortical gray matter volume,447916.261234254926,mm^3
Total gray matter volume,607908.261234254926,mm^3
Left hemisphere cerebral white matter volume,224377.500000000000,mm^3
Right hemisphere cerebral white matter volume,222168.500000000000,mm^3
Total cerebral white matter volume,446546.000000000000,mm^3
Mask Volume,1572693.000000000000,mm^3
Supratentorial volume voxel count,950737.000000000000,mm^3
Brain Segmentation Volume Without Ventricles from Surf,1078696.000000000000,mm^3
Volume of ventricles and choroid plexus,27519.000000000000,mm^3
Estimated Total Intracranial Volume,1475539.859505,mm^3
Mean Thickness,2.419305,mm
