StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
caudalanteriorcingulate,1105,751,2145,2.558,0.434,0.134,0.021,17,1.2
caudalmiddlefrontal,2959,1943,5257,2.519,0.368,0.108,0.019,24,2.4
cuneus,2592,1735,3833,1.954,0.578,0.133,0.027,30,3.0
entorhinal,538,338,1727,3.471,0.795,0.096,0.016,4,0.4
fusiform,3209,2144,6876,2.857,0.624,0.121,0.026,38,3.1
inferiorparietal,6963,4648,12863,2.529,0.469,0.118,0.022,74,6.3
inferiortemporal,4624,3227,11183,2.834,0.701,0.126,0.026,61,5.0
isthmuscingulate,1135,755,2044,2.434,0.745,0.120,0.028,12,1.2
lateraloccipital,7141,4547,10583,2.151,0.580,0.129,0.029,80,8.6
lateralorbitofrontal,3648,2579,7284,2.575,0.517,0.137,0.031,48,4.7
lingual,4328,2945,6467,1.984,0.607,0.130,0.031,50,5.6
medialorbitofrontal,1984,1391,4093,2.442,0.730,0.136,0.033,34,2.8
middletemporal,5399,3597,11412,2.690,0.568,0.113,0.021,53,4.6
parahippocampal,967,580,2008,2.848,0.747,0.068,0.013,4,0.5
paracentral,2262,1400,3699,2.429,0.485,0.106,0.017,16,1.6
parsopercularis,1887,1260,3554,2.531,0.487,0.100,0.021,15,1.6
parsorbitalis,682,467,1519,2.684,0.558,0.122,0.027,8,0.7
parstriangularis,1676,1168,3202,2.443,0.481,0.124,0.025,20,1.8
pericalcarine,2135,1465,1936,1.506,0.378,0.132,0.029,23,2.7
postcentral,6553,4153,9369,2.047,0.567,0.111,0.021,60,5.8
posteriorcingulate,1700,1186,3200,2.494,0.519,0.138,0.030,24,2.2
precentral,6471,4066,11289,2.508,0.532,0.106,0.020,46,5.3
precuneus,5029,3445,8866,2.434,0.545,0.125,0.026,51,5.7
rostralanteriorcingulate,1134,804,2658,2.837,0.653,0.136,0.034,19,1.3
rostralmiddlefrontal,4708,3460,8941,2.294,0.497,0.137,0.027,65,5.3
superiorfrontal,11161,7781,22320,2.539,0.504,0.124,0.025,118,11.7
superiorparietal,5384,3441,8890,2.303,0.475,0.113,0.021,52,4.7
superiortemporal,6350,4170,13752,2.894,0.653,0.109,0.019,59,5.2
supramarginal,4648,3145,8405,2.495,0.434,0.112,0.021,45,4.2
transversetemporal,540,320,885,2.458,0.393,0.124,0.027,6,0.5
insula,2661,1761,5207,2.907,0.767,0.104,0.022,20,2.2
