StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
bankssts,1473,952,2306,2.576,0.430,0.094,0.017,8,1.0
caudalanteriorcingulate,570,391,1214,2.638,0.666,0.131,0.019,9,0.5
caudalmiddlefrontal,2754,1928,5727,2.676,0.466,0.124,0.024,26,2.8
cuneus,2089,1460,3037,1.965,0.551,0.153,0.033,28,2.9
entorhinal,595,411,1900,3.494,0.793,0.113,0.029,5,0.7
fusiform,4056,2725,9271,2.915,0.589,0.122,0.024,44,4.2
inferiorparietal,5285,3596,10488,2.615,0.470,0.121,0.022,54,5.0
inferiortemporal,4260,2942,9471,2.709,0.618,0.114,0.025,51,4.5
isthmuscingulate,1137,739,2101,2.567,0.818,0.108,0.024,12,1.0
lateraloccipital,6505,4236,10756,2.233,0.612,0.126,0.026,78,7.2
lateralorbitofrontal,3233,2271,6469,2.707,0.665,0.134,0.036,42,4.8
lingual,4042,2786,6226,2.118,0.747,0.128,0.030,42,4.9
medialorbitofrontal,2228,1599,4656,2.635,0.764,0.139,0.040,45,3.3
middletemporal,3872,2648,9634,2.925,0.630,0.111,0.021,40,3.3
parahippocampal,863,534,1725,2.771,0.890,0.084,0.019,4,0.6
paracentral,1828,1180,3601,2.782,0.535,0.098,0.019,11,1.5
parsopercularis,1856,1306,3724,2.533,0.460,0.110,0.022,19,1.6
parsorbitalis,710,543,1949,2.944,0.580,0.139,0.030,11,0.9
parstriangularis,1422,972,3025,2.732,0.582,0.120,0.025,15,1.3
pericalcarine,1864,1263,1527,1.433,0.424,0.143,0.037,22,3.0
postcentral,5688,3831,10315,2.329,0.745,0.119,0.023,53,5.8
posteriorcingulate,1233,817,2519,2.680,0.596,0.115,0.023,17,1.1
precentral,6739,4450,13006,2.645,0.626,0.111,0.023,48,6.9
precuneus,4797,3237,9395,2.714,0.475,0.119,0.023,49,4.5
rostralanteriorcingulate,752,532,1594,2.831,0.571,0.133,0.023,12,0.8
rostralmiddlefrontal,5760,4243,12479,2.588,0.516,0.137,0.029,73,7.3
superiorfrontal,8478,6059,20181,2.938,0.513,0.123,0.024,79,8.6
superiorparietal,6866,4562,12525,2.458,0.527,0.120,0.023,69,6.6
superiortemporal,5299,3481,12281,3.048,0.631,0.105,0.020,43,4.4
supramarginal,5633,4000,11952,2.654,0.535,0.131,0.026,67,6.1
frontalpole,307,250,1102,3.183,0.319,0.157,0.029,5,0.4
temporalpole,593,490,2696,3.758,0.623,0.153,0.042,7,1.1
transversetemporal,717,457,1211,2.407,0.422,0.131,0.037,8,1.0
insula,2594,1735,5374,3.091,0.690,0.110,0.029,18,2.9
