StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
G_and_S_frontomargin,808,589,1542,2.145,0.615,0.123,0.025,9,0.8
G_and_S_occipital_inf,1243,804,3445,3.055,0.730,0.118,0.020,14,1.0
G_and_S_paracentral,1601,975,2689,2.298,0.498,0.103,0.019,13,1.3
G_and_S_subcentral,1514,1002,2983,2.630,0.531,0.125,0.026,17,1.6
G_and_S_transv_frontopol,1089,837,2365,2.266,0.536,0.149,0.033,20,1.7
G_and_S_cingul-Ant,3144,2158,6359,2.631,0.561,0.110,0.019,27,2.8
G_and_S_cingul-Mid-Ant,1383,901,2494,2.546,0.566,0.098,0.015,8,0.9
G_and_S_cingul-Mid-Post,1377,910,2647,2.570,0.569,0.102,0.020,8,1.2
G_cingul-Post-dorsal,493,302,1453,3.257,0.607,0.121,0.031,7,0.5
G_cingul-Post-ventral,282,189,727,2.673,0.837,0.119,0.037,4,0.2
G_cuneus,2529,1582,3655,1.987,0.563,0.126,0.030,32,3.0
G_front_inf-Opercular,1435,993,3467,2.723,0.456,0.123,0.024,18,1.3
G_front_inf-Orbital,434,311,1120,2.689,0.446,0.130,0.028,6,0.5
G_front_inf-Triangul,767,579,1754,2.330,0.479,0.140,0.031,14,1.0
G_front_middle,3768,2823,9751,2.565,0.479,0.146,0.032,71,5.4
G_front_sup,7145,4893,16943,2.711,0.572,0.117,0.023,75,6.4
G_Ins_lg_and_S_cent_ins,557,362,1251,3.410,0.730,0.099,0.020,5,0.4
G_insular_short,664,465,2096,3.229,0.739,0.133,0.034,8,1.0
G_occipital_middle,2491,1517,6040,2.975,0.538,0.121,0.026,36,2.5
G_occipital_sup,1768,1027,3022,2.406,0.659,0.109,0.025,19,1.8
G_oc-temp_lat-fusifor,1875,1178,4996,3.084,0.592,0.105,0.023,24,1.6
G_oc-temp_med-Lingual,3470,2405,6160,2.127,0.716,0.149,0.038,51,5.4
G_oc-temp_med-Parahip,1180,760,3565,3.196,0.824,0.092,0.023,10,1.0
G_orbital,2670,1998,7471,2.883,0.587,0.146,0.035,47,4.0
G_pariet_inf-Angular,3271,2224,8237,2.778,0.538,0.127,0.027,49,3.4
G_pariet_inf-Supramar,2682,1820,6451,2.831,0.508,0.119,0.022,31,2.5
G_parietal_sup,2618,1670,5403,2.481,0.424,0.103,0.017,28,1.9
G_postcentral,2207,1323,3988,2.349,0.513,0.092,0.016,16,1.4
G_precentral,2654,1550,5792,2.845,0.457,0.084,0.016,16,1.9
G_precuneus,3199,2125,6932,2.653,0.542,0.120,0.023,37,3.2
G_rectus,877,658,2304,2.516,0.666,0.121,0.027,17,1.2
G_subcallosal,510,338,899,2.757,0.914,0.124,0.040,5,0.9
G_temp_sup-G_T_transv,569,331,1140,2.699,0.281,0.089,0.016,5,0.4
G_temp_sup-Lateral,2016,1326,5774,3.222,0.540,0.117,0.025,27,2.1
G_temp_sup-Plan_polar,835,544,1942,3.372,0.651,0.075,0.015,3,0.5
G_temp_sup-Plan_tempo,1059,716,1904,2.479,0.355,0.072,0.011,5,0.4
G_temporal_inf,2326,1582,7699,3.354,0.775,0.129,0.028,32,2.7
G_temporal_middle,3253,2227,10733,3.347,0.644,0.120,0.024,44,3.3
Lat_Fis-ant-Horizont,349,243,554,2.223,0.529,0.106,0.012,2,0.2
Lat_Fis-ant-Vertical,205,141,268,2.055,0.318,0.093,0.008,1,0.1
Lat_Fis-post,1605,1053,2142,2.487,0.410,0.103,0.016,10,1.2
Pole_occipital,3492,2177,5573,2.266,0.667,0.138,0.031,41,4.9
Pole_temporal,1533,1146,5739,3.461,0.780,0.136,0.028,19,1.8
S_calcarine,3092,2011,3913,2.168,0.646,0.111,0.022,25,2.9
S_central,2904,1914,3011,1.802,0.544,0.076,0.011,10,1.5
S_cingul-Marginalis,1504,979,2059,2.330,0.331,0.072,0.008,4,0.6
S_circular_insula_ant,627,413,952,2.845,0.446,0.089,0.014,2,0.4
S_circular_insula_inf,1183,773,1755,2.624,0.599,0.072,0.009,3,0.4
S_circular_insula_sup,1511,992,2099,2.591,0.470,0.098,0.017,6,1.2
S_collat_transv_ant,667,462,1286,2.782,0.694,0.107,0.025,6,0.7
S_collat_transv_post,539,368,706,2.542,0.465,0.115,0.020,3,0.5
S_front_inf,1974,1318,2586,2.121,0.428,0.100,0.017,11,1.4
S_front_middle,1975,1385,2769,2.131,0.464,0.123,0.025,17,2.2
S_front_sup,2742,1827,3942,2.352,0.406,0.089,0.013,12,1.7
S_interm_prim-Jensen,672,471,886,2.292,0.356,0.116,0.016,5,0.6
S_intrapariet_and_P_trans,3461,2307,4769,2.265,0.429,0.099,0.014,23,2.2
S_oc_middle_and_Lunatus,1162,800,1614,2.331,0.381,0.114,0.021,8,1.0
S_oc_sup_and_transversal,1532,1005,1900,2.154,0.433,0.099,0.016,9,1.0
S_occipital_ant,657,465,1089,2.522,0.380,0.098,0.016,4,0.5
S_oc-temp_lat,1064,734,1697,2.821,0.501,0.108,0.018,6,0.8
S_oc-temp_med_and_Lingual,2245,1500,3234,2.579,0.379,0.094,0.014,12,1.3
S_orbital_lateral,484,332,615,2.114,0.456,0.106,0.016,3,0.3
S_orbital_med-olfact,826,560,1058,2.090,0.592,0.104,0.020,5,0.7
S_orbital-H_Shaped,1522,1077,2906,2.511,0.700,0.124,0.024,14,1.7
S_parieto_occipital,2970,1948,4147,2.392,0.486,0.105,0.018,22,2.2
S_pericallosal,1546,998,1241,1.598,0.456,0.111,0.016,20,1.1
S_postcentral,2719,1772,3544,2.264,0.415,0.086,0.013,11,1.6
S_precentral-inf-part,1976,1288,2677,2.238,0.390,0.091,0.014,11,1.3
S_precentral-sup-part,1116,756,1660,2.339,0.480,0.094,0.013,6,0.7
S_suborbital,449,309,617,2.235,0.814,0.119,0.014,3,0.3
S_subparietal,1039,738,1794,2.564,0.668,0.119,0.021,8,1.0
S_temporal_inf,1405,938,2003,2.601,0.526,0.103,0.016,8,1.0
S_temporal_sup,6900,4573,11251,2.639,0.442,0.093,0.014,38,4.4
S_temporal_transverse,267,192,354,2.309,0.348,0.114,0.013,2,0.2
