StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
bankssts,1527,1004,2573,2.554,0.504,0.090,0.015,8,0.9
caudalanteriorcingulate,738,499,1358,2.178,0.825,0.135,0.019,13,0.6
caudalmiddlefrontal,2630,1714,4837,2.581,0.480,0.104,0.019,18,2.1
cuneus,2361,1645,2980,1.787,0.377,0.137,0.028,27,2.9
entorhinal,895,665,3338,3.388,0.831,0.124,0.034,9,1.0
fusiform,5029,3395,10489,2.708,0.544,0.121,0.022,52,4.7
inferiorparietal,7161,4919,13087,2.403,0.499,0.118,0.023,77,6.8
inferiortemporal,4580,3191,10470,2.696,0.706,0.115,0.023,50,4.3
isthmuscingulate,1474,995,2624,2.248,0.837,0.110,0.024,16,1.3
lateraloccipital,7621,4917,11163,2.088,0.570,0.120,0.025,82,7.5
lateralorbitofrontal,3489,2450,6364,2.460,0.692,0.121,0.031,43,4.1
lingual,3754,2761,5725,2.011,0.624,0.151,0.039,52,5.8
medialorbitofrontal,2618,1855,5161,2.478,0.827,0.116,0.026,31,2.7
middletemporal,4047,2735,9635,2.833,0.688,0.115,0.022,41,3.6
parahippocampal,1102,707,2188,2.772,0.869,0.089,0.016,13,0.7
paracentral,1878,1230,3585,2.576,0.625,0.102,0.019,13,1.5
parsopercularis,2036,1394,4048,2.447,0.495,0.110,0.023,18,1.8
parsorbitalis,821,652,2194,2.705,0.661,0.165,0.042,19,1.4
parstriangularis,1424,1030,2714,2.289,0.642,0.112,0.022,13,1.2
pericalcarine,1864,1293,1579,1.454,0.409,0.143,0.033,24,2.4
postcentral,5401,3492,9099,2.226,0.648,0.096,0.019,39,4.0
posteriorcingulate,1734,1184,3178,2.332,0.789,0.122,0.021,23,1.5
precentral,6402,4068,12892,2.785,0.637,0.098,0.019,41,4.8
precuneus,5352,3664,10092,2.614,0.504,0.122,0.024,54,5.3
rostralanteriorcingulate,867,596,1708,2.676,0.737,0.125,0.023,11,0.9
rostralmiddlefrontal,6277,4515,12040,2.254,0.611,0.130,0.030,76,7.8
superiorfrontal,9499,6551,20348,2.745,0.559,0.115,0.021,78,8.5
superiorparietal,8042,5448,13515,2.252,0.428,0.111,0.020,77,6.3
superiortemporal,5543,3673,12393,2.852,0.672,0.100,0.018,42,4.3
supramarginal,5407,3718,10568,2.562,0.504,0.113,0.021,50,4.6
frontalpole,334,274,934,2.617,0.382,0.174,0.044,5,0.6
temporalpole,551,433,2436,3.778,0.839,0.138,0.032,7,0.7
transversetemporal,663,426,1288,2.669,0.377,0.122,0.021,7,0.5
insula,2992,2033,6184,3.056,0.787,0.115,0.029,27,3.2
