StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
bankssts,1428,935,2261,2.486,0.354,0.076,0.011,7,0.6
caudalanteriorcingulate,1106,729,2128,2.569,0.560,0.133,0.017,16,0.9
caudalmiddlefrontal,2483,1660,4737,2.546,0.462,0.111,0.020,20,2.2
cuneus,2518,1689,3337,1.845,0.469,0.140,0.030,31,3.4
entorhinal,429,302,1782,3.893,0.577,0.119,0.032,4,0.5
fusiform,4447,2974,9507,2.833,0.685,0.123,0.028,47,4.9
inferiorparietal,8796,6126,17137,2.475,0.507,0.117,0.021,91,7.9
inferiortemporal,4567,3177,10080,2.769,0.665,0.116,0.027,50,5.0
isthmuscingulate,1500,984,2579,2.183,0.906,0.107,0.025,17,1.3
lateraloccipital,6933,4607,11901,2.367,0.586,0.124,0.026,70,7.3
lateralorbitofrontal,3029,2111,6077,2.628,0.690,0.125,0.032,47,3.7
lingual,4083,2957,6021,1.991,0.625,0.145,0.038,48,6.7
medialorbitofrontal,2620,1812,5210,2.428,0.653,0.117,0.024,36,2.8
middletemporal,5037,3519,12177,2.872,0.585,0.115,0.022,54,4.5
parahippocampal,999,604,1940,2.743,0.757,0.076,0.014,5,0.4
paracentral,1979,1277,3745,2.632,0.598,0.102,0.020,13,1.7
parsopercularis,1685,1155,3233,2.561,0.436,0.115,0.022,16,1.5
parsorbitalis,887,651,2458,2.771,0.815,0.138,0.030,11,1.0
parstriangularis,1629,1198,3196,2.292,0.573,0.128,0.025,18,1.6
pericalcarine,2099,1473,1677,1.330,0.386,0.143,0.034,25,3.0
postcentral,5216,3425,8442,2.216,0.664,0.101,0.020,38,4.0
posteriorcingulate,1686,1139,3088,2.388,0.873,0.124,0.024,24,1.7
precentral,5999,3853,11873,2.733,0.642,0.103,0.020,40,4.8
precuneus,6047,4116,10629,2.473,0.531,0.119,0.023,63,5.8
rostralanteriorcingulate,832,546,1692,2.698,0.542,0.114,0.019,9,0.7
rostralmiddlefrontal,6616,4792,12866,2.264,0.574,0.124,0.027,74,7.4
superiorfrontal,8505,5904,17943,2.679,0.576,0.122,0.024,79,8.7
superiorparietal,8064,5422,13088,2.237,0.413,0.116,0.021,83,6.9
superiortemporal,5325,3502,11877,2.934,0.577,0.090,0.015,37,3.6
supramarginal,4412,3021,8603,2.589,0.537,0.109,0.020,40,3.6
frontalpole,403,313,1113,2.882,0.502,0.177,0.043,9,0.7
temporalpole,641,465,2290,3.697,0.812,0.131,0.034,8,0.8
transversetemporal,512,290,821,2.369,0.422,0.099,0.022,3,0.4
insula,3224,2148,6639,3.035,0.810,0.115,0.035,31,4.0
