Region,Volume,Units
Brain Segmentation Volume,1100756.000000000000,mm^3
Brain Segmentation Volume Without Ventricles,1085636.000000000000,mm^3
Supratentorial volume,974432.000000000000,mm^3
Supratentorial volume NotVent,959312.000000000000,mm^3
Subcortical gray matter volume,53731.000000000000,mm^3
Left hemisphere cortical gray matter volume,219445.530818755215,mm^3
Right hemisphere cortical gray matter volume,219486.936608922930,mm^3
Total cortical gray matter volume,438932.467427678173,mm^3
Total gray matter volume,592254.467427678173,mm^3
Left hemisphere cerebral white matter volume,234663.000000000000,mm^3
Right hemisphere cerebral white matter volume,232991.000000000000,mm^3
Total cerebral white matter volume,467654.000000000000,mm^3
Mask Volume,1480390.000000000000,mm^3
Supratentorial volume voxel count,959312.000000000000,mm^3
Brain Segmentation Volume Without Ventricles from Surf,1085636.000000000000,mm^3
Volume of ventricles and choroid plexus,12346.000000000000,mm^3
Estimated Total Intracranial Volume,1404699.021574,mm^3
Mean Thickness,2.46228,mm
