StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
caudalanteriorcingulate,1556,1056,3076,2.719,0.634,0.123,0.020,19,1.3
caudalmiddlefrontal,3575,2344,6868,2.693,0.557,0.106,0.021,25,3.0
cuneus,3443,2260,4756,2.002,0.555,0.125,0.024,36,3.4
entorhinal,517,335,1662,3.551,0.570,0.097,0.023,3,0.5
fusiform,3649,2376,7379,2.780,0.540,0.108,0.020,33,3.0
inferiorparietal,6497,4479,12763,2.541,0.511,0.127,0.023,73,6.5
inferiortemporal,5168,3690,13757,3.062,0.656,0.129,0.027,71,5.6
isthmuscingulate,1327,865,2560,2.609,0.858,0.103,0.023,12,1.0
lateraloccipital,7952,5227,12989,2.194,0.573,0.130,0.028,92,9.5
lateralorbitofrontal,4198,2855,8039,2.591,0.704,0.123,0.027,48,4.6
lingual,4672,3175,7407,2.191,0.679,0.130,0.028,51,5.7
medialorbitofrontal,2131,1443,3756,2.352,0.654,0.108,0.024,22,2.1
middletemporal,5926,4003,13503,2.849,0.658,0.120,0.023,63,5.7
parahippocampal,1140,705,2102,2.513,0.766,0.072,0.015,5,0.5
paracentral,2178,1288,3601,2.508,0.549,0.091,0.016,16,1.4
parsopercularis,1837,1234,3517,2.628,0.447,0.102,0.019,14,1.3
parsorbitalis,946,623,1984,2.663,0.645,0.112,0.020,8,0.9
parstriangularis,2287,1578,4537,2.527,0.535,0.117,0.024,40,2.4
pericalcarine,1768,1194,1668,1.630,0.460,0.127,0.031,17,2.5
postcentral,7822,5087,13419,2.337,0.667,0.104,0.019,66,6.3
posteriorcingulate,1722,1168,3104,2.674,0.754,0.135,0.025,24,1.9
precentral,7306,4581,14036,2.771,0.586,0.102,0.019,53,5.8
precuneus,5460,3679,10013,2.498,0.566,0.117,0.020,55,4.6
rostralanteriorcingulate,1627,1168,3771,2.788,0.716,0.131,0.030,28,2.4
rostralmiddlefrontal,6161,4434,12738,2.470,0.631,0.134,0.027,75,7.2
superiorfrontal,10832,7522,24905,2.906,0.608,0.119,0.023,102,10.4
superiorparietal,7109,4689,12390,2.354,0.509,0.112,0.019,67,5.7
superiortemporal,7560,5021,18156,3.057,0.682,0.104,0.021,68,6.5
supramarginal,4394,3002,8943,2.799,0.494,0.120,0.022,45,4.0
transversetemporal,706,439,1219,2.658,0.317,0.116,0.022,6,0.6
insula,3017,2010,6082,2.945,0.691,0.103,0.021,23,2.5
