Region,Volume,Units
Brain Segmentation Volume,1171746.000000000000,mm^3
Brain Segmentation Volume Without Ventricles,1156257.000000000000,mm^3
Supratentorial volume,1024082.000000000000,mm^3
Supratentorial volume NotVent,1008593.000000000000,mm^3
Subcortical gray matter volume,57349.000000000000,mm^3
Left hemisphere cortical gray matter volume,235780.704578163568,mm^3
Right hemisphere cortical gray matter volume,237238.486287301581,mm^3
Total cortical gray matter volume,473019.190865465149,mm^3
Total gray matter volume,648108.190865465207,mm^3
Left hemisphere cerebral white matter volume,238196.500000000000,mm^3
Right hemisphere cerebral white matter volume,241011.500000000000,mm^3
Total cerebral white matter volume,479208.000000000000,mm^3
Mask Volume,1609588.000000000000,mm^3
Supratentorial volume voxel count,1008593.000000000000,mm^3
Brain Segmentation Volume Without Ventricles from Surf,1156257.000000000000,mm^3
Volume of ventricles and choroid plexus,12352.000000000000,mm^3
Estimated Total Intracranial Volume,1532294.186242,mm^3
Mean Thickness,2.49974,mm
