StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
caudalanteriorcingulate,1294,884,2452,2.712,0.696,0.137,0.024,22,1.4
caudalmiddlefrontal,2823,1995,5664,2.518,0.482,0.118,0.026,28,3.1
cuneus,2344,1473,3282,2.015,0.481,0.128,0.031,31,3.0
entorhinal,513,335,1681,3.569,0.643,0.110,0.030,4,0.6
fusiform,3107,2140,7186,2.852,0.573,0.123,0.026,33,3.4
inferiorparietal,4792,3490,9742,2.475,0.493,0.128,0.027,60,5.6
inferiortemporal,3794,2943,10758,2.982,0.730,0.140,0.030,58,5.0
isthmuscingulate,1229,786,1976,2.150,0.794,0.109,0.022,13,1.1
lateraloccipital,4894,3218,8169,2.271,0.545,0.134,0.031,64,6.3
lateralorbitofrontal,3486,2415,7099,2.678,0.677,0.126,0.033,44,4.7
lingual,3413,2220,5489,2.174,0.670,0.130,0.030,43,4.5
medialorbitofrontal,1803,1327,3988,2.562,0.671,0.135,0.035,26,2.3
middletemporal,4779,3352,10980,2.673,0.674,0.114,0.024,55,4.9
parahippocampal,862,529,2148,3.133,0.965,0.087,0.017,5,0.6
paracentral,2008,1237,3692,2.603,0.629,0.098,0.020,12,1.8
parsopercularis,1757,1229,3574,2.583,0.434,0.117,0.023,19,1.7
parsorbitalis,862,623,1891,2.492,0.528,0.111,0.021,10,0.8
parstriangularis,1878,1375,3887,2.440,0.555,0.126,0.028,24,1.9
pericalcarine,1565,1059,1853,1.914,0.541,0.115,0.027,14,1.7
postcentral,5696,3687,8611,2.084,0.584,0.109,0.023,57,5.3
posteriorcingulate,1320,963,2568,2.437,0.713,0.143,0.032,22,1.7
precentral,6779,4288,12317,2.593,0.580,0.108,0.026,65,7.0
precuneus,3913,2796,7758,2.410,0.611,0.125,0.027,46,4.2
rostralanteriorcingulate,1175,819,2706,3.001,0.803,0.135,0.031,20,1.5
rostralmiddlefrontal,4108,3122,8420,2.346,0.529,0.139,0.030,61,5.7
superiorfrontal,8671,6489,20108,2.620,0.572,0.128,0.030,106,10.6
superiorparietal,4972,3430,8656,2.297,0.456,0.114,0.023,52,4.7
superiortemporal,5778,3851,12961,2.835,0.689,0.103,0.020,49,4.8
supramarginal,3817,2672,7513,2.543,0.467,0.128,0.027,43,4.3
transversetemporal,626,373,1199,2.736,0.368,0.118,0.026,8,0.6
insula,2299,1562,4947,3.128,0.751,0.111,0.028,17,2.6
