StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
bankssts,1388,947,2545,2.506,0.481,0.105,0.020,12,1.2
caudalanteriorcingulate,922,614,1744,2.697,0.619,0.128,0.021,13,0.9
caudalmiddlefrontal,2918,2039,5358,2.423,0.512,0.110,0.020,25,2.5
cuneus,2336,1594,3344,1.978,0.448,0.133,0.030,26,2.9
entorhinal,581,382,1687,3.092,0.928,0.120,0.046,8,0.7
fusiform,4520,3124,11182,3.052,0.638,0.130,0.030,54,5.4
inferiorparietal,5330,3724,9789,2.417,0.487,0.120,0.024,61,5.3
inferiortemporal,3732,2729,9280,2.801,0.668,0.135,0.031,47,5.1
isthmuscingulate,1635,1070,2628,2.260,0.783,0.112,0.024,17,1.5
lateraloccipital,8352,5484,13760,2.241,0.599,0.135,0.031,100,11.2
lateralorbitofrontal,3604,2595,7020,2.316,0.757,0.149,0.047,55,7.2
lingual,4893,3337,7829,2.125,0.715,0.133,0.031,59,6.5
medialorbitofrontal,2584,1763,4741,2.417,0.841,0.120,0.033,34,3.7
middletemporal,4971,3560,12280,2.697,0.674,0.137,0.032,73,6.8
parahippocampal,1175,748,2365,2.656,0.737,0.095,0.024,9,1.0
paracentral,2133,1306,3579,2.519,0.593,0.094,0.018,13,1.6
parsopercularis,2264,1632,4612,2.529,0.470,0.118,0.024,23,2.3
parsorbitalis,1005,819,2495,2.334,0.627,0.167,0.045,19,2.1
parstriangularis,1798,1269,3376,2.430,0.507,0.130,0.031,20,2.3
pericalcarine,2145,1444,2005,1.566,0.413,0.121,0.024,21,2.1
postcentral,7022,4514,10102,2.057,0.611,0.119,0.028,73,7.7
posteriorcingulate,1827,1238,3390,2.526,0.793,0.130,0.026,22,2.1
precentral,8173,5239,15283,2.669,0.613,0.112,0.026,66,9.0
precuneus,5412,3758,10419,2.505,0.558,0.121,0.026,59,5.5
rostralanteriorcingulate,1416,969,3175,2.781,0.786,0.120,0.023,17,1.6
rostralmiddlefrontal,7078,5301,14045,2.334,0.555,0.139,0.034,92,10.1
superiorfrontal,8948,6309,20532,2.825,0.641,0.120,0.025,82,9.1
superiorparietal,8134,5369,13163,2.294,0.447,0.109,0.020,75,6.8
superiortemporal,5760,3877,11691,2.608,0.636,0.106,0.023,52,5.1
supramarginal,6345,4321,12071,2.446,0.517,0.116,0.023,68,6.0
frontalpole,334,313,1363,2.774,0.830,0.196,0.064,8,0.8
temporalpole,632,525,2653,3.116,0.994,0.158,0.050,10,1.1
transversetemporal,882,566,1235,2.110,0.426,0.123,0.037,11,1.3
insula,3386,2308,6799,2.870,0.759,0.117,0.030,28,4.3
