StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
caudalanteriorcingulate,1518,1019,2677,2.492,0.653,0.129,0.025,20,1.7
caudalmiddlefrontal,3229,2165,6010,2.468,0.537,0.112,0.022,26,3.0
cuneus,3059,2144,3567,1.721,0.506,0.155,0.038,41,5.1
entorhinal,706,436,1682,2.850,0.743,0.107,0.030,8,0.8
fusiform,4654,3320,9831,2.583,0.724,0.138,0.033,56,6.6
inferiorparietal,6715,4668,11824,2.299,0.469,0.121,0.025,70,6.7
inferiortemporal,4171,3005,9089,2.514,0.644,0.135,0.036,54,6.0
isthmuscingulate,1445,1027,2451,2.143,0.791,0.142,0.038,21,2.2
lateraloccipital,7847,5236,12133,2.148,0.606,0.142,0.036,99,11.5
lateralorbitofrontal,4668,3250,8192,2.363,0.753,0.152,0.049,70,9.1
lingual,4686,3305,5675,1.693,0.528,0.147,0.036,65,7.1
medialorbitofrontal,2175,1516,4163,2.292,0.737,0.130,0.035,27,2.8
middletemporal,5764,3999,11790,2.560,0.610,0.123,0.027,62,6.5
parahippocampal,991,627,1897,2.591,0.655,0.095,0.020,8,0.7
paracentral,2209,1397,3728,2.463,0.605,0.113,0.025,17,2.2
parsopercularis,2094,1438,3654,2.358,0.531,0.133,0.034,23,2.8
parsorbitalis,1046,709,2135,2.404,0.744,0.120,0.030,10,1.2
parstriangularis,2535,1761,4683,2.343,0.668,0.130,0.036,30,3.6
pericalcarine,1799,1293,1304,1.240,0.367,0.161,0.038,26,3.1
postcentral,6191,4007,8589,1.954,0.639,0.110,0.026,56,6.2
posteriorcingulate,1852,1267,2939,2.123,0.746,0.130,0.028,27,2.1
precentral,7484,4709,12174,2.398,0.652,0.108,0.027,70,8.1
precuneus,5517,3872,8977,2.167,0.533,0.135,0.033,67,7.1
rostralanteriorcingulate,1354,979,2884,2.506,0.835,0.143,0.037,19,2.1
rostralmiddlefrontal,5216,3621,9387,2.262,0.591,0.132,0.034,60,7.1
superiorfrontal,9570,6830,20088,2.600,0.655,0.133,0.032,105,12.5
superiorparietal,6525,4476,10517,2.118,0.515,0.126,0.028,72,7.2
superiortemporal,7216,4928,17047,2.806,0.767,0.112,0.026,70,7.6
supramarginal,4714,3309,8699,2.457,0.595,0.127,0.030,53,5.8
transversetemporal,704,423,1034,2.255,0.474,0.128,0.031,8,0.9
insula,2562,1744,5207,2.927,0.801,0.118,0.032,22,3.0
