StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
bankssts,1357,911,2299,2.559,0.362,0.106,0.019,11,1.0
caudalanteriorcingulate,1103,763,1964,2.181,0.812,0.119,0.016,14,0.8
caudalmiddlefrontal,2329,1599,4316,2.424,0.524,0.117,0.022,21,2.1
cuneus,3211,2049,4290,1.912,0.466,0.133,0.030,43,4.0
entorhinal,514,333,1830,3.604,0.604,0.117,0.022,4,0.5
fusiform,4455,2930,9405,2.768,0.598,0.113,0.022,47,4.0
inferiorparietal,8136,5357,14638,2.518,0.475,0.110,0.020,79,7.1
inferiortemporal,5237,3550,12199,2.870,0.646,0.122,0.028,99,6.3
isthmuscingulate,1240,835,2389,2.412,0.773,0.126,0.037,18,1.4
lateraloccipital,7339,4666,11574,2.231,0.568,0.126,0.027,85,8.2
lateralorbitofrontal,3179,2173,6134,2.568,0.706,0.130,0.030,42,3.9
lingual,4936,3308,7400,2.007,0.561,0.129,0.032,63,6.4
medialorbitofrontal,3105,2102,5620,2.246,0.706,0.119,0.026,43,3.4
middletemporal,5239,3661,12738,2.897,0.652,0.117,0.021,56,4.8
parahippocampal,1054,660,2084,2.635,0.601,0.082,0.018,6,0.6
paracentral,2678,1754,4542,2.394,0.565,0.102,0.018,22,2.1
parsopercularis,2426,1669,4510,2.341,0.475,0.106,0.018,22,1.9
parsorbitalis,1124,851,2784,2.646,0.574,0.151,0.036,22,1.5
parstriangularis,2378,1770,4809,2.419,0.494,0.134,0.030,31,3.0
pericalcarine,2476,1678,2603,1.675,0.471,0.123,0.028,24,2.8
postcentral,6770,4269,9584,2.010,0.558,0.101,0.019,54,5.3
posteriorcingulate,1965,1331,3429,2.276,0.787,0.108,0.020,18,1.8
precentral,6431,4043,11496,2.589,0.542,0.099,0.018,41,4.7
precuneus,6369,4284,10149,2.296,0.483,0.112,0.021,61,5.4
rostralanteriorcingulate,773,546,1659,2.557,0.574,0.124,0.022,11,0.7
rostralmiddlefrontal,6371,4500,12399,2.345,0.589,0.125,0.027,76,7.2
superiorfrontal,9966,6872,20414,2.510,0.590,0.116,0.023,98,9.7
superiorparietal,8858,5733,13877,2.192,0.457,0.114,0.022,94,8.0
superiortemporal,4863,3244,9675,2.689,0.574,0.105,0.018,43,3.6
supramarginal,6028,4075,11017,2.498,0.499,0.120,0.024,65,6.0
frontalpole,420,326,1168,2.559,0.655,0.171,0.045,13,0.7
temporalpole,665,466,2377,3.533,0.679,0.138,0.032,9,0.8
transversetemporal,507,277,710,2.431,0.398,0.122,0.025,6,0.5
insula,3795,2603,7009,2.697,0.792,0.117,0.030,46,4.5
