StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
bankssts,1255,829,1892,2.525,0.346,0.092,0.018,6,0.9
caudalanteriorcingulate,696,447,1151,2.369,0.551,0.125,0.013,9,0.4
caudalmiddlefrontal,3052,1956,5488,2.523,0.513,0.106,0.019,23,2.5
cuneus,2853,1842,3545,1.781,0.507,0.128,0.028,33,3.5
entorhinal,625,410,1932,3.283,0.685,0.104,0.024,4,0.6
fusiform,5037,3287,10715,2.692,0.662,0.113,0.020,49,4.2
inferiorparietal,6549,4503,11378,2.291,0.514,0.120,0.021,74,6.0
inferiortemporal,5033,3409,9867,2.511,0.579,0.113,0.021,59,4.4
isthmuscingulate,1625,1056,2778,2.318,0.853,0.101,0.021,16,1.4
lateraloccipital,9432,5978,13314,2.026,0.610,0.123,0.026,102,10.5
lateralorbitofrontal,3907,2592,7020,2.585,0.614,0.117,0.022,37,3.8
lingual,4955,3367,6663,1.859,0.561,0.130,0.029,56,6.2
medialorbitofrontal,2716,1974,4925,2.374,0.592,0.128,0.027,37,2.9
middletemporal,4724,3258,10501,2.637,0.615,0.121,0.022,58,4.1
parahippocampal,991,619,1875,2.664,0.702,0.084,0.014,9,0.5
paracentral,1967,1236,3215,2.377,0.509,0.100,0.017,13,1.5
parsopercularis,2431,1639,4917,2.604,0.510,0.113,0.020,23,2.0
parsorbitalis,976,689,2162,2.515,0.564,0.140,0.027,14,1.1
parstriangularis,2019,1379,3529,2.348,0.485,0.119,0.021,22,1.7
pericalcarine,2908,1965,2678,1.563,0.376,0.143,0.033,35,4.3
postcentral,6107,3915,9631,2.103,0.652,0.101,0.018,48,4.5
posteriorcingulate,1724,1154,2893,2.315,0.745,0.111,0.019,18,1.4
precentral,8381,5191,14462,2.530,0.536,0.098,0.017,57,6.0
precuneus,4839,3291,7973,2.274,0.472,0.114,0.019,50,3.9
rostralanteriorcingulate,987,690,1957,2.663,0.475,0.113,0.018,12,0.8
rostralmiddlefrontal,6816,4947,12507,2.285,0.444,0.138,0.030,96,8.2
superiorfrontal,10999,7511,22319,2.649,0.489,0.114,0.021,95,9.7
superiorparietal,7344,4784,11526,2.221,0.465,0.112,0.019,70,5.6
superiortemporal,5130,3364,9920,2.556,0.642,0.101,0.018,40,3.9
supramarginal,5038,3452,9349,2.465,0.490,0.125,0.024,58,5.2
frontalpole,365,305,979,2.656,0.527,0.174,0.046,8,0.7
temporalpole,753,555,2830,3.583,0.543,0.136,0.031,9,1.0
transversetemporal,616,372,888,2.262,0.369,0.122,0.024,6,0.5
insula,3133,2068,5800,2.835,0.731,0.105,0.024,25,2.8
