StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
G_and_S_frontomargin,832,666,1761,2.164,0.656,0.148,0.043,14,1.4
G_and_S_occipital_inf,1434,1010,3938,2.837,0.802,0.137,0.033,15,1.9
G_and_S_paracentral,1889,1215,3203,2.349,0.544,0.117,0.032,18,2.3
G_and_S_subcentral,1555,1050,3140,2.670,0.599,0.132,0.036,17,2.4
G_and_S_transv_frontopol,520,421,1371,2.351,0.635,0.159,0.042,10,0.9
G_and_S_cingul-Ant,1955,1423,4103,2.531,0.664,0.115,0.025,23,2.0
G_and_S_cingul-Mid-Ant,1561,1010,2448,2.373,0.658,0.119,0.020,16,1.4
G_and_S_cingul-Mid-Post,1332,910,2511,2.706,0.595,0.111,0.023,10,1.3
G_cingul-Post-dorsal,430,286,1205,3.175,0.591,0.114,0.026,5,0.4
G_cingul-Post-ventral,324,218,813,2.875,0.925,0.114,0.034,4,0.3
G_cuneus,1854,1309,2718,1.818,0.568,0.147,0.035,29,2.7
G_front_inf-Opercular,1307,896,3045,2.620,0.518,0.115,0.026,12,1.5
G_front_inf-Orbital,449,315,1045,2.436,0.576,0.152,0.034,8,0.6
G_front_inf-Triangul,1160,780,2435,2.466,0.618,0.137,0.027,17,1.4
G_front_middle,3376,2573,9037,2.728,0.662,0.156,0.046,53,6.7
G_front_sup,7059,4941,16059,2.641,0.590,0.128,0.029,74,8.6
G_Ins_lg_and_S_cent_ins,720,452,1604,3.071,0.578,0.122,0.035,8,1.1
G_insular_short,694,493,2283,3.551,1.051,0.140,0.046,8,1.3
G_occipital_middle,1802,1227,3862,2.515,0.602,0.128,0.032,23,2.2
G_occipital_sup,1600,1028,2357,2.108,0.640,0.127,0.028,16,2.0
G_oc-temp_lat-fusifor,1771,1196,4919,3.016,0.721,0.128,0.031,23,2.2
G_oc-temp_med-Lingual,2939,2048,4307,1.887,0.623,0.150,0.043,41,5.2
G_oc-temp_med-Parahip,1363,874,3388,2.936,0.770,0.096,0.026,9,1.4
G_orbital,2482,1887,6851,2.574,0.835,0.161,0.053,50,5.1
G_pariet_inf-Angular,2424,1654,5536,2.557,0.711,0.130,0.030,34,3.0
G_pariet_inf-Supramar,3227,2282,7512,2.629,0.713,0.138,0.038,43,5.0
G_parietal_sup,3192,2137,5944,2.313,0.528,0.129,0.034,42,4.0
G_postcentral,2340,1477,4243,2.320,0.719,0.118,0.030,27,2.7
G_precentral,2980,1729,5912,2.695,0.684,0.114,0.034,31,4.5
G_precuneus,2546,1807,4605,2.214,0.580,0.133,0.033,33,3.4
G_rectus,1071,824,2521,2.365,0.798,0.174,0.057,32,2.7
G_subcallosal,698,467,987,2.064,0.737,0.131,0.048,9,1.2
G_temp_sup-G_T_transv,649,395,1267,2.527,0.514,0.105,0.030,5,0.8
G_temp_sup-Lateral,2178,1525,6075,2.873,0.678,0.125,0.033,185,3.3
G_temp_sup-Plan_polar,524,372,1214,2.928,0.894,0.067,0.014,1,0.2
G_temp_sup-Plan_tempo,984,643,1810,2.558,0.594,0.074,0.015,3,0.6
G_temporal_inf,2179,1526,6231,2.810,0.772,0.139,0.042,47,4.0
G_temporal_middle,2325,1548,6507,2.978,0.880,0.117,0.030,28,2.7
Lat_Fis-ant-Horizont,294,202,344,1.994,0.438,0.121,0.029,2,0.3
Lat_Fis-ant-Vertical,323,234,400,1.892,0.376,0.114,0.021,2,0.3
Lat_Fis-post,1283,886,1554,2.182,0.572,0.121,0.028,9,1.6
Pole_occipital,2029,1322,2731,1.753,0.600,0.137,0.041,33,3.5
Pole_temporal,1340,1074,4981,3.339,0.837,0.152,0.042,22,2.6
S_calcarine,2201,1520,2314,1.712,0.465,0.125,0.030,21,2.8
S_central,3377,2282,3907,1.993,0.621,0.093,0.018,16,2.8
S_cingul-Marginalis,1124,728,1486,2.316,0.568,0.086,0.013,4,0.7
S_circular_insula_ant,512,359,796,2.376,0.613,0.124,0.031,4,0.7
S_circular_insula_inf,1483,981,2150,2.705,0.765,0.088,0.014,7,1.0
S_circular_insula_sup,1932,1275,2636,2.457,0.448,0.098,0.018,8,1.5
S_collat_transv_ant,733,517,1361,3.123,0.577,0.136,0.032,8,0.9
S_collat_transv_post,555,365,570,2.116,0.353,0.132,0.027,4,0.7
S_front_inf,1724,1241,2846,2.295,0.461,0.122,0.031,16,2.0
S_front_middle,989,714,1606,2.277,0.584,0.111,0.023,7,0.9
S_front_sup,2458,1657,3776,2.382,0.558,0.101,0.020,13,2.1
S_interm_prim-Jensen,249,185,460,2.738,0.610,0.121,0.020,2,0.2
S_intrapariet_and_P_trans,3123,2092,3912,2.124,0.545,0.100,0.017,16,2.6
S_oc_middle_and_Lunatus,462,326,680,2.093,0.653,0.141,0.022,5,0.4
S_oc_sup_and_transversal,1273,846,1431,1.924,0.380,0.113,0.024,10,1.3
S_occipital_ant,667,453,1121,2.390,0.472,0.134,0.026,8,0.7
S_oc-temp_lat,970,644,1378,2.582,0.465,0.096,0.016,4,0.7
S_oc-temp_med_and_Lingual,2416,1688,3632,2.428,0.541,0.114,0.025,17,2.4
S_orbital_lateral,300,215,542,2.412,0.641,0.128,0.037,2,0.3
S_orbital_med-olfact,718,472,884,2.427,0.790,0.119,0.022,5,0.7
S_orbital-H_Shaped,1223,878,2503,2.740,0.671,0.138,0.038,13,1.9
S_parieto_occipital,2420,1648,3208,2.138,0.550,0.116,0.024,18,2.5
S_pericallosal,976,623,1132,2.006,0.636,0.123,0.024,13,1.0
S_postcentral,2843,1922,3735,2.117,0.626,0.104,0.021,16,2.7
S_precentral-inf-part,1241,825,1664,2.287,0.582,0.098,0.018,6,1.0
