StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
bankssts,1196,794,1795,2.316,0.455,0.099,0.016,7,0.9
caudalanteriorcingulate,976,719,2018,2.472,0.536,0.137,0.024,16,1.1
caudalmiddlefrontal,3142,2033,5163,2.357,0.426,0.109,0.019,24,2.5
cuneus,2086,1472,2483,1.712,0.452,0.160,0.040,31,3.6
entorhinal,563,365,1702,3.263,0.891,0.110,0.024,3,0.6
fusiform,4069,2734,8517,2.721,0.621,0.122,0.026,41,4.4
inferiorparietal,6139,4204,10546,2.331,0.479,0.124,0.023,64,6.1
inferiortemporal,4659,3274,10241,2.634,0.630,0.128,0.029,51,5.8
isthmuscingulate,1225,827,2022,2.278,0.631,0.115,0.023,12,1.2
lateraloccipital,8002,5147,10654,1.926,0.512,0.135,0.032,101,10.5
lateralorbitofrontal,3777,2594,6399,2.304,0.558,0.130,0.032,39,5.1
lingual,4481,3094,5990,1.894,0.593,0.145,0.034,58,6.4
medialorbitofrontal,2760,1867,4445,2.201,0.575,0.118,0.024,34,2.6
middletemporal,4156,2858,8551,2.531,0.638,0.120,0.023,43,4.1
parahippocampal,915,576,1929,2.849,0.819,0.091,0.018,5,0.6
paracentral,2265,1331,3593,2.455,0.583,0.092,0.017,14,1.5
parsopercularis,2003,1307,3336,2.361,0.445,0.099,0.017,16,1.3
parsorbitalis,842,633,2234,2.543,0.672,0.150,0.044,12,1.4
parstriangularis,1705,1167,3126,2.410,0.541,0.127,0.026,19,1.8
pericalcarine,1765,1191,1349,1.338,0.345,0.135,0.031,21,2.3
postcentral,5847,3676,8620,2.065,0.644,0.097,0.018,44,4.1
posteriorcingulate,1654,1141,2886,2.479,0.569,0.127,0.024,22,1.8
precentral,7520,4656,12642,2.532,0.586,0.100,0.021,53,6.2
precuneus,5143,3518,8977,2.365,0.511,0.123,0.025,53,5.1
rostralanteriorcingulate,835,614,1990,2.716,0.533,0.135,0.024,12,0.9
rostralmiddlefrontal,6790,4949,11608,2.123,0.476,0.139,0.030,88,8.3
superiorfrontal,10765,7352,20361,2.477,0.486,0.122,0.024,99,10.9
superiorparietal,8346,5517,13229,2.151,0.554,0.116,0.021,80,7.4
superiortemporal,4941,3181,10453,2.796,0.561,0.091,0.015,33,3.2
supramarginal,4719,3217,8624,2.476,0.556,0.128,0.025,52,4.9
frontalpole,326,277,808,2.410,0.410,0.204,0.049,9,0.8
temporalpole,665,525,2480,3.396,0.836,0.156,0.042,12,1.2
transversetemporal,568,345,816,2.199,0.429,0.128,0.036,7,0.7
insula,2949,1994,5173,2.690,0.685,0.128,0.035,32,4.2
