StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
G_and_S_frontomargin,810,611,1824,2.290,0.770,0.154,0.041,16,1.4
G_and_S_occipital_inf,1400,979,3422,2.739,0.678,0.130,0.024,17,1.4
G_and_S_paracentral,1363,921,2231,2.067,0.552,0.126,0.027,14,1.5
G_and_S_subcentral,1534,1074,3285,2.802,0.551,0.126,0.030,15,1.8
G_and_S_transv_frontopol,1103,811,2639,2.350,0.719,0.132,0.043,23,1.7
G_and_S_cingul-Ant,3833,2674,7562,2.461,0.661,0.110,0.023,36,3.6
G_and_S_cingul-Mid-Ant,2121,1373,3874,2.514,0.701,0.101,0.016,14,1.5
G_and_S_cingul-Mid-Post,1781,1220,3207,2.433,0.653,0.116,0.023,14,1.8
G_cingul-Post-dorsal,424,299,1179,2.859,0.455,0.140,0.032,6,0.6
G_cingul-Post-ventral,291,192,629,2.608,0.612,0.134,0.037,4,0.4
G_cuneus,2179,1459,3685,2.059,0.664,0.133,0.031,31,2.6
G_front_inf-Opercular,1470,1068,3835,2.841,0.560,0.114,0.025,12,1.5
G_front_inf-Orbital,387,289,1340,3.091,0.543,0.158,0.036,6,0.6
G_front_inf-Triangul,789,599,2138,2.664,0.509,0.120,0.023,8,0.9
G_front_middle,3819,2966,10750,2.710,0.638,0.144,0.038,60,6.2
G_front_sup,5968,4429,16449,2.799,0.680,0.132,0.034,79,8.0
G_Ins_lg_and_S_cent_ins,605,418,1676,3.596,0.998,0.117,0.028,6,0.7
G_insular_short,844,609,2564,3.243,1.113,0.131,0.038,10,1.5
G_occipital_middle,2381,1603,5757,2.717,0.516,0.141,0.035,38,3.1
G_occipital_sup,1787,1236,3401,2.319,0.507,0.149,0.032,29,2.3
G_oc-temp_lat-fusifor,2293,1486,5698,3.029,0.563,0.119,0.028,29,2.6
G_oc-temp_med-Lingual,2750,1822,5109,2.278,0.798,0.137,0.034,38,3.9
G_oc-temp_med-Parahip,1096,685,3131,2.965,0.872,0.088,0.021,7,0.8
G_orbital,2308,1767,7525,3.059,0.768,0.149,0.045,38,4.2
G_pariet_inf-Angular,3295,2355,8060,2.653,0.579,0.133,0.030,48,4.0
G_pariet_inf-Supramar,2733,1993,6597,2.759,0.616,0.139,0.033,36,3.7
G_parietal_sup,2113,1540,4939,2.450,0.604,0.139,0.029,30,2.5
G_postcentral,2166,1408,3654,2.070,0.591,0.119,0.027,23,2.4
G_precentral,2614,1687,6060,2.709,0.558,0.117,0.029,24,2.9
G_precuneus,2342,1723,5753,2.642,0.537,0.144,0.033,38,3.0
G_rectus,1010,745,2277,2.334,0.605,0.147,0.044,20,2.2
