StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
caudalanteriorcingulate,1822,1124,3234,2.656,0.572,0.100,0.014,16,1.1
caudalmiddlefrontal,3576,2409,6859,2.615,0.500,0.108,0.019,28,2.9
cuneus,2921,1985,4007,1.953,0.516,0.130,0.030,31,3.5
entorhinal,679,436,1771,3.147,0.785,0.092,0.019,4,0.5
fusiform,4330,3048,9084,2.606,0.556,0.120,0.023,53,4.0
inferiorparietal,6274,4443,11508,2.350,0.466,0.126,0.022,74,6.0
inferiortemporal,4921,3355,11506,2.905,0.719,0.120,0.023,56,4.6
isthmuscingulate,1556,1040,2476,2.132,0.741,0.111,0.023,21,1.4
lateraloccipital,7555,5077,12091,2.172,0.567,0.132,0.029,84,8.9
lateralorbitofrontal,4523,3189,8918,2.553,0.631,0.130,0.027,59,4.9
lingual,4473,3072,5757,1.859,0.619,0.133,0.032,53,5.7
medialorbitofrontal,2366,1670,4398,2.336,0.682,0.117,0.025,36,2.3
middletemporal,5981,4238,13283,2.673,0.629,0.120,0.023,71,5.9
parahippocampal,960,603,1848,2.590,0.785,0.080,0.018,5,0.7
paracentral,2487,1583,4456,2.546,0.538,0.104,0.019,17,2.0
parsopercularis,2254,1544,4499,2.621,0.505,0.115,0.021,22,2.1
parsorbitalis,965,656,2056,2.619,0.489,0.110,0.021,9,0.8
parstriangularis,2207,1493,4163,2.508,0.626,0.119,0.021,21,2.0
pericalcarine,1912,1334,1753,1.621,0.509,0.146,0.034,24,2.7
postcentral,6627,4291,10110,2.106,0.591,0.103,0.018,51,5.0
posteriorcingulate,1866,1288,3439,2.440,0.649,0.132,0.023,24,1.9
precentral,6807,4233,12696,2.757,0.566,0.099,0.018,46,4.9
precuneus,5866,4022,10235,2.350,0.482,0.123,0.024,62,5.6
rostralanteriorcingulate,1760,1213,3575,2.663,0.658,0.125,0.026,24,1.9
rostralmiddlefrontal,5371,3865,10655,2.390,0.589,0.131,0.027,69,5.8
superiorfrontal,11443,7952,24202,2.636,0.554,0.121,0.022,116,10.6
superiorparietal,7434,5010,12267,2.202,0.477,0.117,0.021,80,6.5
superiortemporal,6889,4674,15985,2.886,0.709,0.111,0.020,60,6.0
supramarginal,5368,3725,9953,2.425,0.525,0.122,0.024,61,5.3
transversetemporal,719,410,1141,2.533,0.377,0.113,0.023,6,0.5
insula,2770,1836,5455,2.936,0.738,0.097,0.020,17,2.1
