Region,Volume,Units
Brain Segmentation Volume,1154476.000000000000,mm^3
Brain Segmentation Volume Without Ventricles,1136792.000000000000,mm^3
Supratentorial volume,1021373.000000000000,mm^3
Supratentorial volume NotVent,1003689.000000000000,mm^3
Subcortical gray matter volume,56695.000000000000,mm^3
Left hemisphere cortical gray matter volume,234639.808833538496,mm^3
Right hemisphere cortical gray matter volume,230271.800731871976,mm^3
Total cortical gray matter volume,464911.609565410472,mm^3
Total gray matter volume,622064.609565410530,mm^3
Left hemisphere cerebral white matter volume,244057.500000000000,mm^3
Right hemisphere cerebral white matter volume,239300.500000000000,mm^3
Total cerebral white matter volume,483358.000000000000,mm^3
Mask Volume,1603369.000000000000,mm^3
Supratentorial volume voxel count,1003689.000000000000,mm^3
Brain Segmentation Volume Without Ventricles from Surf,1136792.000000000000,mm^3
Volume of ventricles and choroid plexus,15090.000000000000,mm^3
Estimated Total Intracranial Volume,1444832.598044,mm^3
Mean Thickness,2.50514,mm
