StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
caudalanteriorcingulate,1324,862,2400,2.573,0.614,0.128,0.021,18,1.2
caudalmiddlefrontal,2720,1756,5163,2.703,0.484,0.099,0.017,18,2.0
cuneus,2530,1607,3366,1.959,0.466,0.120,0.027,27,2.9
entorhinal,556,348,1535,3.495,0.623,0.082,0.016,2,0.3
fusiform,3732,2481,7600,2.760,0.565,0.118,0.022,41,3.4
inferiorparietal,5638,3948,11121,2.543,0.501,0.130,0.027,67,6.4
inferiortemporal,4224,2966,10804,3.039,0.664,0.127,0.026,52,4.5
isthmuscingulate,1206,787,2076,2.333,0.758,0.111,0.023,12,1.0
lateraloccipital,5922,3825,10203,2.329,0.637,0.129,0.029,69,7.0
lateralorbitofrontal,3635,2634,7787,2.695,0.582,0.140,0.035,58,6.2
lingual,4057,2677,6029,2.107,0.619,0.125,0.029,46,4.8
medialorbitofrontal,2393,1674,4244,2.234,0.658,0.135,0.036,44,3.6
middletemporal,5534,3699,12785,2.891,0.695,0.108,0.019,50,4.5
parahippocampal,993,612,2274,3.012,0.715,0.084,0.016,7,0.7
paracentral,1966,1239,3716,2.711,0.461,0.099,0.017,13,1.3
parsopercularis,2306,1511,4473,2.658,0.430,0.100,0.019,20,1.8
parsorbitalis,938,641,2060,2.665,0.532,0.117,0.020,9,0.9
parstriangularis,2319,1557,3947,2.326,0.417,0.114,0.020,23,1.9
pericalcarine,1763,1234,1702,1.557,0.414,0.135,0.031,18,2.5
postcentral,6202,3992,9916,2.231,0.663,0.100,0.019,51,4.8
posteriorcingulate,1574,1045,2818,2.466,0.690,0.118,0.026,18,1.6
precentral,5903,3661,11263,2.796,0.537,0.098,0.018,40,4.5
precuneus,4766,3241,8776,2.505,0.534,0.117,0.023,49,4.4
rostralanteriorcingulate,1297,922,2888,2.831,0.678,0.145,0.034,24,1.8
rostralmiddlefrontal,4718,3318,9605,2.539,0.491,0.127,0.026,57,5.2
superiorfrontal,9393,6545,20796,2.847,0.535,0.123,0.022,93,8.8
superiorparietal,6618,4546,12012,2.367,0.477,0.115,0.020,65,5.6
superiortemporal,6828,4501,15462,2.898,0.618,0.091,0.015,48,4.4
supramarginal,4831,3263,9809,2.711,0.546,0.122,0.023,51,4.9
transversetemporal,638,396,1054,2.381,0.481,0.113,0.025,7,0.6
insula,2481,1688,5219,3.168,0.714,0.116,0.028,21,2.8
