StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
caudalanteriorcingulate,653,455,959,2.052,0.621,0.135,0.022,12,0.6
caudalmiddlefrontal,1955,1362,2669,1.928,0.449,0.118,0.026,21,2.0
cuneus,2113,1462,2797,1.729,0.512,0.139,0.031,26,2.9
entorhinal,611,413,1825,3.199,0.809,0.117,0.022,8,0.6
fusiform,3874,2806,6866,2.270,0.619,0.131,0.032,48,4.8
inferiorparietal,4606,3273,6909,1.990,0.533,0.132,0.031,52,6.2
inferiortemporal,4419,3367,9168,2.320,0.635,0.135,0.030,61,5.6
isthmuscingulate,1204,797,1952,2.137,0.726,0.121,0.030,14,1.5
lateraloccipital,6178,4117,8846,1.906,0.545,0.127,0.027,68,7.0
lateralorbitofrontal,2918,2261,6499,2.429,0.839,0.152,0.041,48,5.4
lingual,4102,2945,5956,1.849,0.585,0.153,0.037,55,6.5
medialorbitofrontal,1718,1336,3247,2.043,0.697,0.133,0.032,27,2.7
middletemporal,4264,2990,8007,2.373,0.518,0.121,0.026,45,4.4
parahippocampal,992,637,2159,2.905,0.886,0.097,0.022,8,0.7
paracentral,1959,1240,2858,2.074,0.592,0.100,0.021,12,1.7
parsopercularis,1406,977,2071,2.064,0.512,0.107,0.020,11,1.1
parsorbitalis,869,689,1839,2.195,0.620,0.145,0.035,12,1.4
parstriangularis,1639,1164,2273,1.833,0.425,0.111,0.023,17,1.6
pericalcarine,1694,1180,1540,1.477,0.316,0.135,0.034,17,2.4
postcentral,6185,4051,8026,1.733,0.582,0.100,0.021,46,5.3
posteriorcingulate,1221,855,1955,1.944,0.690,0.127,0.022,16,1.2
precentral,6511,4333,9334,1.948,0.641,0.106,0.022,48,6.1
precuneus,5351,3731,8414,2.050,0.602,0.123,0.028,57,5.8
rostralanteriorcingulate,491,310,801,2.497,0.737,0.106,0.018,5,0.4
rostralmiddlefrontal,3621,2806,6275,1.929,0.555,0.131,0.033,46,5.1
superiorfrontal,9819,7223,18190,2.187,0.555,0.132,0.030,118,12.3
superiorparietal,6040,4036,8824,1.941,0.572,0.121,0.027,66,6.3
superiortemporal,6172,4228,11687,2.372,0.673,0.109,0.022,57,5.8
supramarginal,4693,3300,7224,2.059,0.519,0.124,0.028,49,5.3
transversetemporal,595,330,724,1.984,0.481,0.103,0.026,6,0.6
insula,2770,1824,4842,2.561,0.898,0.104,0.025,21,2.8
