Region,Volume,Units
Brain Segmentation Volume,920818.000000000000,mm^3
Brain Segmentation Volume Without Ventricles,911700.000000000000,mm^3
Supratentorial volume,788594.000000000000,mm^3
Supratentorial volume NotVent,779476.000000000000,mm^3
Subcortical gray matter volume,48105.000000000000,mm^3
Left hemisphere cortical gray matter volume,183701.438648756448,mm^3
Right hemisphere cortical gray matter volume,181899.687962825381,mm^3
Total cortical gray matter volume,365601.126611581829,mm^3
Total gray matter volume,521177.126611581829,mm^3
Left hemisphere cerebral white matter volume,182821.000000000000,mm^3
Right hemisphere cerebral white matter volume,183844.000000000000,mm^3
Total cerebral white matter volume,366665.000000000000,mm^3
Mask Volume,1275034.000000000000,mm^3
Supratentorial volume voxel count,779476.000000000000,mm^3
Brain Segmentation Volume Without Ventricles from Surf,911700.000000000000,mm^3
Volume of ventricles and choroid plexus,7073.000000000000,mm^3
Estimated Total Intracranial Volume,1186755.686957,mm^3
Mean Thickness,2.429805,mm
