StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
caudalanteriorcingulate,1261,861,2377,2.292,0.881,0.122,0.018,17,1.0
caudalmiddlefrontal,2784,1899,4932,2.432,0.391,0.101,0.017,21,1.9
cuneus,2811,1811,3785,1.901,0.495,0.117,0.024,28,2.8
entorhinal,395,260,1381,3.850,0.589,0.117,0.019,7,0.3
fusiform,3820,2533,7904,2.791,0.634,0.106,0.021,33,3.2
inferiorparietal,6182,4128,11134,2.465,0.492,0.112,0.020,64,5.1
inferiortemporal,4368,2954,9750,2.788,0.660,0.122,0.026,50,4.7
isthmuscingulate,1241,851,2203,2.246,0.821,0.127,0.028,16,1.4
lateraloccipital,7516,5025,12010,2.148,0.571,0.123,0.026,88,7.8
lateralorbitofrontal,3367,2427,6762,2.559,0.566,0.138,0.034,47,4.5
lingual,4050,2843,5947,1.949,0.580,0.135,0.031,45,5.4
medialorbitofrontal,1728,1219,3144,2.264,0.668,0.101,0.024,18,1.4
middletemporal,5360,3644,11944,2.779,0.573,0.110,0.019,52,4.4
parahippocampal,996,595,1711,2.506,0.569,0.075,0.012,5,0.4
paracentral,2319,1457,4095,2.527,0.500,0.089,0.015,12,1.5
parsopercularis,2027,1396,4080,2.581,0.468,0.110,0.022,18,1.8
parsorbitalis,810,558,1803,2.583,0.603,0.101,0.017,6,0.6
parstriangularis,1651,1144,3026,2.355,0.548,0.113,0.019,14,1.3
pericalcarine,2067,1453,2056,1.521,0.405,0.137,0.032,22,2.6
postcentral,5748,3741,9319,2.194,0.580,0.094,0.016,44,3.7
posteriorcingulate,1775,1191,3194,2.414,0.768,0.110,0.019,19,1.4
precentral,6637,4320,11527,2.473,0.508,0.096,0.016,42,4.3
precuneus,5172,3440,9434,2.461,0.557,0.115,0.022,52,4.8
rostralanteriorcingulate,890,585,1502,2.399,0.754,0.091,0.018,6,0.6
rostralmiddlefrontal,4305,3068,7892,2.263,0.479,0.121,0.023,47,4.1
superiorfrontal,11940,8240,23672,2.554,0.541,0.110,0.020,105,10.2
superiorparietal,5460,3452,8306,2.273,0.451,0.106,0.020,49,4.2
superiortemporal,6255,4079,13637,2.830,0.620,0.093,0.016,47,4.0
supramarginal,4003,2724,8078,2.664,0.464,0.112,0.021,39,3.6
transversetemporal,540,320,793,2.440,0.400,0.126,0.028,6,0.5
insula,2597,1743,5316,3.128,0.640,0.101,0.021,19,2.0
