StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
caudalanteriorcingulate,803,510,1069,1.949,0.486,0.128,0.016,13,0.5
caudalmiddlefrontal,2626,1786,4592,2.365,0.419,0.115,0.020,25,2.2
cuneus,2672,1765,3354,1.810,0.540,0.137,0.030,35,3.3
entorhinal,322,206,1298,3.945,0.682,0.114,0.031,3,0.3
fusiform,3523,2350,6596,2.684,0.579,0.119,0.024,39,3.5
inferiorparietal,5762,3982,10159,2.367,0.442,0.121,0.024,68,5.5
inferiortemporal,4415,3088,9499,2.600,0.662,0.134,0.032,63,5.5
isthmuscingulate,1070,733,2036,2.443,0.722,0.143,0.032,19,1.6
lateraloccipital,6743,4329,10335,2.137,0.546,0.132,0.027,86,7.5
lateralorbitofrontal,3319,2360,6532,2.404,0.702,0.150,0.043,59,5.8
lingual,4227,2927,5786,1.899,0.605,0.136,0.034,53,6.1
medialorbitofrontal,1981,1424,3798,2.326,0.676,0.134,0.033,30,2.9
middletemporal,5136,3642,11132,2.673,0.622,0.124,0.025,66,5.2
parahippocampal,1001,592,1748,2.496,0.641,0.074,0.011,6,0.4
paracentral,1869,1178,3322,2.444,0.558,0.107,0.023,14,1.8
parsopercularis,1967,1374,3599,2.369,0.441,0.121,0.023,22,1.9
parsorbitalis,816,564,1681,2.489,0.484,0.123,0.027,11,0.9
parstriangularis,1676,1186,3004,2.162,0.581,0.109,0.022,13,1.5
pericalcarine,2341,1578,2094,1.483,0.482,0.130,0.028,24,2.9
postcentral,5415,3590,8002,2.001,0.562,0.113,0.022,52,5.2
posteriorcingulate,1284,874,2073,2.142,0.652,0.137,0.031,20,1.6
precentral,6175,4021,11000,2.468,0.586,0.110,0.022,49,5.8
precuneus,4829,3340,9112,2.440,0.561,0.126,0.025,57,5.0
rostralanteriorcingulate,868,598,1704,2.498,0.666,0.128,0.025,10,0.9
rostralmiddlefrontal,4089,2978,7750,2.136,0.553,0.135,0.034,62,5.5
superiorfrontal,9505,6720,19810,2.481,0.586,0.127,0.028,107,10.8
superiorparietal,6525,4357,11325,2.279,0.509,0.117,0.021,67,6.0
superiortemporal,5752,3883,12593,2.733,0.644,0.111,0.022,54,5.2
supramarginal,4517,3187,8325,2.426,0.483,0.135,0.029,59,5.5
transversetemporal,534,258,713,2.355,0.363,0.095,0.019,5,0.3
insula,2504,1668,4803,2.923,0.786,0.103,0.023,19,2.0
