StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
G_and_S_frontomargin,1116,836,2105,2.257,0.596,0.151,0.032,17,1.8
G_and_S_occipital_inf,1859,1296,4409,2.611,0.706,0.147,0.031,23,2.6
G_and_S_paracentral,1717,1079,2495,2.013,0.511,0.113,0.022,17,1.4
G_and_S_subcentral,1392,917,2501,2.431,0.451,0.115,0.023,15,1.2
G_and_S_transv_frontopol,585,533,1762,2.570,0.526,0.186,0.042,14,1.4
G_and_S_cingul-Ant,1755,1210,3433,2.723,0.488,0.114,0.019,14,1.5
G_and_S_cingul-Mid-Ant,1017,677,1867,2.639,0.522,0.099,0.015,6,0.7
G_and_S_cingul-Mid-Post,1089,749,2126,2.805,0.435,0.115,0.027,8,1.2
G_cingul-Post-dorsal,466,308,1286,3.005,0.543,0.136,0.034,7,0.5
G_cingul-Post-ventral,260,165,539,2.389,0.647,0.132,0.038,6,0.3
G_cuneus,2361,1645,2926,1.648,0.514,0.155,0.034,35,3.4
G_front_inf-Opercular,1389,968,2974,2.508,0.495,0.131,0.026,23,1.5
G_front_inf-Orbital,351,277,946,2.619,0.496,0.162,0.040,12,0.5
G_front_inf-Triangul,1102,882,2714,2.581,0.537,0.166,0.037,24,1.7
G_front_middle,3801,2930,8726,2.393,0.476,0.158,0.037,73,5.6
G_front_sup,5947,4197,14183,2.763,0.547,0.133,0.027,73,6.5
G_Ins_lg_and_S_cent_ins,632,435,1314,2.980,0.722,0.151,0.042,10,1.1
G_insular_short,687,510,2270,3.612,0.906,0.148,0.046,11,1.3
G_occipital_middle,2476,1702,5478,2.493,0.488,0.139,0.030,36,3.0
G_occipital_sup,1519,1045,2361,1.984,0.589,0.135,0.031,17,2.1
G_oc-temp_lat-fusifor,1730,1204,4522,2.913,0.565,0.140,0.034,26,2.4
G_oc-temp_med-Lingual,2771,1989,4222,1.825,0.677,0.147,0.035,38,4.2
G_oc-temp_med-Parahip,1169,742,2820,2.815,0.735,0.105,0.028,10,1.2
G_orbital,2397,1737,5330,2.474,0.574,0.150,0.038,45,3.6
G_pariet_inf-Angular,2206,1653,5396,2.531,0.581,0.140,0.027,34,2.5
G_pariet_inf-Supramar,1931,1316,4316,2.630,0.536,0.121,0.025,25,1.8
G_parietal_sup,3227,2270,6303,2.199,0.593,0.136,0.026,49,3.4
G_postcentral,2359,1486,4303,2.283,0.632,0.125,0.028,26,2.6
G_precentral,2563,1572,5205,2.606,0.506,0.101,0.019,23,1.9
G_precuneus,2500,1782,4939,2.352,0.513,0.137,0.027,38,2.7
G_rectus,875,638,1970,2.409,0.586,0.143,0.033,18,1.1
G_subcallosal,482,301,707,2.334,0.880,0.102,0.032,4,0.7
G_temp_sup-G_T_transv,612,343,974,2.284,0.386,0.092,0.023,5,0.5
G_temp_sup-Lateral,1872,1313,6139,3.227,0.630,0.151,0.038,32,3.4
G_temp_sup-Plan_polar,544,379,1644,3.428,0.815,0.099,0.021,3,0.4
G_temp_sup-Plan_tempo,746,497,1345,2.541,0.414,0.086,0.014,4,0.4
G_temporal_inf,1941,1437,5436,2.897,0.655,0.144,0.031,35,2.4
G_temporal_middle,2035,1420,6138,3.091,0.569,0.139,0.031,33,2.5
Lat_Fis-ant-Horizont,367,244,389,1.712,0.309,0.090,0.016,2,0.2
Lat_Fis-ant-Vertical,377,263,541,2.285,0.400,0.091,0.015,1,0.2
Lat_Fis-post,1030,665,1282,2.322,0.478,0.114,0.022,8,0.9
Pole_occipital,2090,1373,2779,1.877,0.493,0.141,0.034,28,2.8
Pole_temporal,1242,1040,4932,3.306,0.671,0.163,0.047,23,2.2
