StructName,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
caudalanteriorcingulate,1449,912,2122,2.147,0.564,0.112,0.013,17,0.8
caudalmiddlefrontal,2862,2010,5487,2.396,0.548,0.112,0.020,26,2.5
cuneus,2851,1837,3938,1.988,0.458,0.122,0.027,28,3.1
entorhinal,466,319,1657,3.156,0.873,0.104,0.026,4,0.5
fusiform,4001,2708,8169,2.770,0.565,0.123,0.026,44,4.1
inferiorparietal,5816,4025,10730,2.421,0.468,0.124,0.023,64,6.0
inferiortemporal,4486,3261,10550,2.714,0.646,0.132,0.028,62,5.1
isthmuscingulate,1639,1057,2836,2.378,0.767,0.115,0.021,19,1.5
lateraloccipital,6964,4575,10659,2.140,0.526,0.133,0.028,82,7.9
lateralorbitofrontal,3797,2703,7470,2.618,0.622,0.137,0.032,50,5.1
lingual,4885,3396,7602,2.056,0.630,0.139,0.031,59,6.6
medialorbitofrontal,2105,1457,3980,2.422,0.690,0.127,0.028,32,2.2
middletemporal,6006,4276,13871,2.670,0.630,0.120,0.025,72,6.7
parahippocampal,1074,643,1822,2.469,0.591,0.060,0.011,4,0.4
paracentral,1946,1222,3504,2.508,0.599,0.080,0.013,9,1.1
parsopercularis,1939,1267,3718,2.623,0.497,0.113,0.021,19,1.6
parsorbitalis,996,712,2261,2.657,0.508,0.119,0.027,12,1.0
parstriangularis,2267,1593,4258,2.387,0.479,0.125,0.026,24,2.6
pericalcarine,2060,1414,1777,1.491,0.367,0.137,0.031,23,2.7
postcentral,6904,4427,10452,2.128,0.712,0.099,0.019,58,5.5
posteriorcingulate,1571,1043,2610,2.264,0.763,0.130,0.022,22,1.5
precentral,6331,4050,12229,2.738,0.585,0.105,0.022,46,5.9
precuneus,5105,3440,8745,2.323,0.573,0.115,0.020,50,4.4
rostralanteriorcingulate,1374,935,2883,2.821,0.716,0.127,0.024,16,1.5
rostralmiddlefrontal,4560,3403,9196,2.319,0.545,0.135,0.031,66,5.6
superiorfrontal,8712,6329,18892,2.537,0.609,0.125,0.027,94,10.0
superiorparietal,6297,4173,10586,2.311,0.478,0.113,0.019,59,5.1
superiortemporal,7168,4783,15922,2.832,0.716,0.103,0.020,64,6.2
supramarginal,6739,4636,12576,2.526,0.554,0.121,0.024,74,6.8
transversetemporal,780,425,1260,2.500,0.311,0.086,0.019,6,0.5
insula,2714,1781,6069,3.294,0.836,0.101,0.023,18,2.6
