Region,Volume,Units
Brain Segmentation Volume,1186215.000000000000,mm^3
Brain Segmentation Volume Without Ventricles,1156094.000000000000,mm^3
Supratentorial volume,1043998.000000000000,mm^3
Supratentorial volume NotVent,1013877.000000000000,mm^3
Subcortical gray matter volume,60204.000000000000,mm^3
Left hemisphere cortical gray matter volume,240448.103434416989,mm^3
Right hemisphere cortical gray matter volume,239480.622271369095,mm^3
Total cortical gray matter volume,479928.725705786084,mm^3
Total gray matter volume,654324.725705786142,mm^3
Left hemisphere cerebral white matter volume,238943.000000000000,mm^3
Right hemisphere cerebral white matter volume,235594.000000000000,mm^3
Total cerebral white matter volume,474537.000000000000,mm^3
Mask Volume,1614558.000000000000,mm^3
Supratentorial volume voxel count,1013877.000000000000,mm^3
Brain Segmentation Volume Without Ventricles from Surf,1156094.000000000000,mm^3
Volume of ventricles and choroid plexus,25909.000000000000,mm^3
Estimated Total Intracranial Volume,1587615.007500,mm^3
Mean Thickness,2.44498,mm
